date,county,diseases,diagnosis,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,sheep_pop,goat_pop,cam_pop,catt_pop,y,hum_pop,hum_incidence,catt_incidence,cam_incidence,goat_incidence,shp_incidence
2021-01-01,Baringo,Brucellosis,Clinically confirmed,312,NA,NA,NA,NA,686686,1867454,77000,819692,2021,13174,23.68,NA,NA,NA,NA
2021-01-01,Baringo,Brucellosis,Lab confirmed,857,NA,NA,NA,NA,686686,1867454,77000,819692,2021,13174,65.05,NA,NA,NA,NA
2021-01-01,Bomet,Brucellosis,Clinically confirmed,97,NA,NA,NA,NA,160984,152918,0,636418,2021,18432,5.26,NA,NA,NA,NA
2021-01-01,Bomet,Brucellosis,Lab confirmed,469,NA,NA,NA,NA,160984,152918,0,636418,2021,18432,25.44,NA,NA,NA,NA
2021-01-01,Bungoma,Brucellosis,Clinically confirmed,852,NA,NA,NA,NA,156988,219386,0,702518,2021,51457,16.56,NA,NA,NA,NA
2021-01-01,Bungoma,Brucellosis,Lab confirmed,2345,NA,NA,NA,NA,156988,219386,0,702518,2021,51457,45.57,NA,NA,NA,NA
2021-01-01,Busia,Brucellosis,Clinically confirmed,78,NA,NA,NA,NA,43408,164606,0,413256,2021,31257,2.5,NA,NA,NA,NA
2021-01-01,Busia,Brucellosis,Lab confirmed,956,NA,NA,NA,NA,43408,164606,0,413256,2021,31257,30.59,NA,NA,NA,NA
2021-01-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,337,NA,NA,NA,NA,380062,199852,178,300906,2021,3647,92.4,NA,NA,NA,NA
2021-01-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,1224,NA,NA,NA,NA,380062,199852,178,300906,2021,3647,335.62,NA,NA,NA,NA
2021-01-01,Embu,Brucellosis,Clinically confirmed,55,NA,NA,NA,NA,90492,538266,456,276830,2021,16995,3.24,NA,NA,NA,NA
2021-01-01,Embu,Brucellosis,Lab confirmed,560,NA,NA,NA,NA,90492,538266,456,276830,2021,16995,32.95,NA,NA,NA,NA
2021-01-01,Garissa,Brucellosis,Clinically confirmed,81,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021,145480,0.56,NA,NA,NA,NA
2021-01-01,Garissa,Brucellosis,Lab confirmed,631,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021,145480,4.34,NA,NA,NA,NA
2021-01-01,Homa Bay,Brucellosis,Clinically confirmed,74,NA,NA,NA,NA,296748,359110,0,681938,2021,38668,1.91,NA,NA,NA,NA
2021-01-01,Homa Bay,Brucellosis,Lab confirmed,751,NA,NA,NA,NA,296748,359110,0,681938,2021,38668,19.42,NA,NA,NA,NA
2021-01-01,Isiolo,Brucellosis,Clinically confirmed,159,NA,NA,NA,NA,1709450,2060010,297718,543196,2021,10144,15.67,NA,NA,NA,NA
2021-01-01,Isiolo,Brucellosis,Lab confirmed,420,NA,NA,NA,NA,1709450,2060010,297718,543196,2021,10144,41.4,NA,NA,NA,NA
2021-01-01,Kajiado,Brucellosis,Clinically confirmed,134,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021,81361,1.65,NA,NA,NA,NA
2021-01-01,Kajiado,Brucellosis,Lab confirmed,891,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021,81361,10.95,NA,NA,NA,NA
2021-01-01,Kakamega,Brucellosis,Clinically confirmed,158,NA,NA,NA,NA,113768,156288,0,806900,2021,64288,2.46,NA,NA,NA,NA
2021-01-01,Kakamega,Brucellosis,Lab confirmed,629,NA,NA,NA,NA,113768,156288,0,806900,2021,64288,9.78,NA,NA,NA,NA
2021-01-01,Kericho,Brucellosis,Clinically confirmed,103,NA,NA,NA,NA,112476,143750,0,483296,2021,24628,4.18,NA,NA,NA,NA
