date,county,diseases,diagnosis,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,sheep_pop,goat_pop,cam_pop,catt_pop,y
2021-01-01,Baringo,Brucellosis,Clinically confirmed,312,NA,NA,NA,NA,686686,1867454,77000,819692,2021
2021-01-01,Baringo,Brucellosis,Lab confirmed,857,NA,NA,NA,NA,686686,1867454,77000,819692,2021
2021-01-01,Bomet,Brucellosis,Clinically confirmed,97,NA,NA,NA,NA,160984,152918,0,636418,2021
2021-01-01,Bomet,Brucellosis,Lab confirmed,469,NA,NA,NA,NA,160984,152918,0,636418,2021
2021-01-01,Bungoma,Brucellosis,Clinically confirmed,852,NA,NA,NA,NA,156988,219386,0,702518,2021
2021-01-01,Bungoma,Brucellosis,Lab confirmed,2345,NA,NA,NA,NA,156988,219386,0,702518,2021
2021-01-01,Busia,Brucellosis,Clinically confirmed,78,NA,NA,NA,NA,43408,164606,0,413256,2021
2021-01-01,Busia,Brucellosis,Lab confirmed,956,NA,NA,NA,NA,43408,164606,0,413256,2021
2021-01-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,337,NA,NA,NA,NA,380062,199852,178,300906,2021
2021-01-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,1224,NA,NA,NA,NA,380062,199852,178,300906,2021
2021-01-01,Embu,Brucellosis,Clinically confirmed,55,NA,NA,NA,NA,90492,538266,456,276830,2021
2021-01-01,Embu,Brucellosis,Lab confirmed,560,NA,NA,NA,NA,90492,538266,456,276830,2021
2021-01-01,Garissa,Brucellosis,Clinically confirmed,81,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021
2021-01-01,Garissa,Brucellosis,Lab confirmed,631,NA,NA,NA,NA,5493154,7714584,1632114,2841382,2021
2021-01-01,Homa Bay,Brucellosis,Clinically confirmed,74,NA,NA,NA,NA,296748,359110,0,681938,2021
2021-01-01,Homa Bay,Brucellosis,Lab confirmed,751,NA,NA,NA,NA,296748,359110,0,681938,2021
2021-01-01,Isiolo,Brucellosis,Clinically confirmed,159,NA,NA,NA,NA,1709450,2060010,297718,543196,2021
2021-01-01,Isiolo,Brucellosis,Lab confirmed,420,NA,NA,NA,NA,1709450,2060010,297718,543196,2021
2021-01-01,Kajiado,Brucellosis,Clinically confirmed,134,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021
2021-01-01,Kajiado,Brucellosis,Lab confirmed,891,NA,NA,NA,NA,2241298,1755488,7168,1155420,2021
2021-01-01,Kakamega,Brucellosis,Clinically confirmed,158,NA,NA,NA,NA,113768,156288,0,806900,2021
2021-01-01,Kakamega,Brucellosis,Lab confirmed,629,NA,NA,NA,NA,113768,156288,0,806900,2021
2021-01-01,Kericho,Brucellosis,Clinically confirmed,103,NA,NA,NA,NA,112476,143750,0,483296,2021
2021-01-01,Kericho,Brucellosis,Lab confirmed,676,NA,NA,NA,NA,112476,143750,0,483296,2021
2021-01-01,Kiambu,Brucellosis,Clinically confirmed,76,NA,NA,NA,NA,236778,167194,0,400788,2021
2021-01-01,Kiambu,Brucellosis,Lab confirmed,477,NA,NA,NA,NA,236778,167194,0,400788,2021
2021-01-01,Kilifi,Brucellosis,Clinically confirmed,17,NA,NA,NA,NA,112962,1084514,4044,472914,2021
2021-01-01,Kilifi,Brucellosis,Lab confirmed,78,NA,NA,NA,NA,112962,1084514,4044,472914,2021
2021-01-01,Kirinyaga,Brucellosis,Clinically confirmed,5,NA,NA,NA,NA,53502,213688,0,232882,2021
2021-01-01,Kirinyaga,Brucellosis,Lab confirmed,216,NA,NA,NA,NA,53502,213688,0,232882,2021
2021-01-01,Kisii,Brucellosis,Clinically confirmed,468,NA,NA,NA,NA,22002,113892,0,433716,2021
2021-01-01,Kisii,Brucellosis,Lab confirmed,2577,NA,NA,NA,NA,22002,113892,0,433716,2021
2021-01-01,Kisumu,Brucellosis,Clinically confirmed,77,NA,NA,NA,NA,327074,275392,0,485992,2021
2021-01-01,Kisumu,Brucellosis,Lab confirmed,489,NA,NA,NA,NA,327074,275392,0,485992,2021
2021-01-01,Kitui,Brucellosis,Clinically confirmed,208,NA,NA,NA,NA,211660,2741120,10404,687264,2021
2021-01-01,Kitui,Brucellosis,Lab confirmed,786,NA,NA,NA,NA,211660,2741120,10404,687264,2021
2021-01-01,Laikipia,Brucellosis,Clinically confirmed,204,NA,NA,NA,NA,1227564,805052,15654,540130,2021
2021-01-01,Laikipia,Brucellosis,Lab confirmed,237,NA,NA,NA,NA,1227564,805052,15654,540130,2021
2021-01-01,Lamu,Brucellosis,Clinically confirmed,1,NA,NA,NA,NA,84290,195758,250,196642,2021
2021-01-01,Lamu,Brucellosis,Lab confirmed,15,NA,NA,NA,NA,84290,195758,250,196642,2021
2021-01-01,Machakos,Brucellosis,Clinically confirmed,178,1,NA,NA,NA,343050,1249782,2946,724702,2021
2021-01-01,Machakos,Brucellosis,Lab confirmed,428,NA,NA,NA,NA,343050,1249782,2946,724702,2021
2021-01-01,Makueni,Brucellosis,Clinically confirmed,22,NA,NA,NA,NA,266230,1599276,2222,651606,2021
2021-01-01,Makueni,Brucellosis,Lab confirmed,399,NA,NA,NA,NA,266230,1599276,2222,651606,2021
2021-01-01,Mandera,Brucellosis,Clinically confirmed,35,NA,NA,12,NA,4452066,9797614,3657330,2365978,2021
2021-01-01,Mandera,Brucellosis,Lab confirmed,281,NA,NA,NA,NA,4452066,9797614,3657330,2365978,2021
2021-01-01,Marsabit,Brucellosis,Clinically confirmed,199,NA,NA,NA,NA,1255664,1488950,430468,481472,2021
2021-01-01,Marsabit,Brucellosis,Lab confirmed,566,NA,NA,NA,NA,1255664,1488950,430468,481472,2021
2021-01-01,Meru,Brucellosis,Clinically confirmed,75,NA,NA,NA,NA,277542,684396,11464,624368,2021
2021-01-01,Meru,Brucellosis,Lab confirmed,568,NA,NA,NA,NA,277542,684396,11464,624368,2021
2021-01-01,Migori,Brucellosis,Clinically confirmed,293,NA,NA,NA,NA,141704,284408,0,646640,2021
2021-01-01,Migori,Brucellosis,Lab confirmed,1465,NA,NA,NA,NA,141704,284408,0,646640,2021
2021-01-01,Mombasa,Brucellosis,Clinically confirmed,5,NA,NA,NA,NA,4584,50822,116,21302,2021
2021-01-01,Mombasa,Brucellosis,Lab confirmed,27,NA,NA,NA,NA,4584,50822,116,21302,2021
2021-01-01,Murang'a,Brucellosis,Clinically confirmed,15,NA,NA,NA,NA,112950,347526,0,420206,2021
2021-01-01,Murang'a,Brucellosis,Lab confirmed,117,NA,NA,NA,NA,112950,347526,0,420206,2021
2021-01-01,Nairobi,Brucellosis,Clinically confirmed,230,NA,NA,NA,NA,38218,56830,0,58658,2021
2021-01-01,Nairobi,Brucellosis,Lab confirmed,797,NA,NA,NA,NA,38218,56830,0,58658,2021
2021-01-01,Nakuru,Brucellosis,Clinically confirmed,610,NA,NA,NA,NA,1064442,410784,776,793052,2021
2021-01-01,Nakuru,Brucellosis,Lab confirmed,2829,NA,NA,NA,NA,1064442,410784,776,793052,2021
2021-01-01,Nandi,Brucellosis,Clinically confirmed,430,NA,NA,NA,NA,195424,70192,0,486836,2021
2021-01-01,Nandi,Brucellosis,Lab confirmed,805,NA,NA,NA,NA,195424,70192,0,486836,2021
2021-01-01,Narok,Brucellosis,Clinically confirmed,497,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021
2021-01-01,Narok,Brucellosis,Lab confirmed,1975,NA,NA,NA,NA,5207084,2031690,3238,2977782,2021
2021-01-01,Nyamira,Brucellosis,Clinically confirmed,150,NA,NA,NA,NA,23574,78670,0,239250,2021
2021-01-01,Nyamira,Brucellosis,Lab confirmed,650,NA,NA,NA,NA,23574,78670,0,239250,2021
