county,year,catt_pop,goat_pop,sheep_pop,cam_pop
Mombasa,2014,10651,25411,2292,58
Mombasa,2015,10651,25411,2292,58
Mombasa,2016,10651,25411,2292,58
Mombasa,2017,10651,25411,2292,58
Mombasa,2018,10651,25411,2292,58
Mombasa,2019,10651,25411,2292,58
Mombasa,2020,10651,25411,2292,58
Mombasa,2021,10651,25411,2292,58
Mombasa,2022,10651,25411,2292,58
Kwale,2014,310434,382410,90615,1096
Kwale,2015,310434,382410,90615,1096
Kwale,2016,310434,382410,90615,1096
Kwale,2017,310434,382410,90615,1096
Kwale,2018,310434,382410,90615,1096
Kwale,2019,310434,382410,90615,1096
Kwale,2020,310434,382410,90615,1096
Kwale,2021,310434,382410,90615,1096
Kwale,2022,310434,382410,90615,1096
Kilifi,2014,236457,542257,56481,2022
Kilifi,2015,236457,542257,56481,2022
Kilifi,2016,236457,542257,56481,2022
Kilifi,2017,236457,542257,56481,2022
Kilifi,2018,236457,542257,56481,2022
Kilifi,2019,236457,542257,56481,2022
Kilifi,2020,236457,542257,56481,2022
Kilifi,2021,236457,542257,56481,2022
Kilifi,2022,236457,542257,56481,2022
Tana River,2014,271833,590856,448066,53298
Tana River,2015,271833,590856,448066,53298
Tana River,2016,271833,590856,448066,53298
Tana River,2017,271833,590856,448066,53298
Tana River,2018,271833,590856,448066,53298
Tana River,2019,271833,590856,448066,53298
Tana River,2020,271833,590856,448066,53298
Tana River,2021,271833,590856,448066,53298
Tana River,2022,271833,590856,448066,53298
Lamu,2014,98321,97879,42145,125
Lamu,2015,98321,97879,42145,125
Lamu,2016,98321,97879,42145,125
Lamu,2017,98321,97879,42145,125
Lamu,2018,98321,97879,42145,125
Lamu,2019,98321,97879,42145,125
Lamu,2020,98321,97879,42145,125
Lamu,2021,98321,97879,42145,125
Lamu,2022,98321,97879,42145,125
Taita Taveta,2014,114814,202113,46535,2630
Taita Taveta,2015,114814,202113,46535,2630
Taita Taveta,2016,114814,202113,46535,2630
Taita Taveta,2017,114814,202113,46535,2630
Taita Taveta,2018,114814,202113,46535,2630
Taita Taveta,2019,114814,202113,46535,2630
Taita Taveta,2020,114814,202113,46535,2630
Taita Taveta,2021,114814,202113,46535,2630
Taita Taveta,2022,114814,202113,46535,2630
Garissa,2014,1420691,3857292,2746577,816057
Garissa,2015,1420691,3857292,2746577,816057
Garissa,2016,1420691,3857292,2746577,816057
Garissa,2017,1420691,3857292,2746577,816057
Garissa,2018,1420691,3857292,2746577,816057
Garissa,2019,1420691,3857292,2746577,816057
Garissa,2020,1420691,3857292,2746577,816057
Garissa,2021,1420691,3857292,2746577,816057
Garissa,2022,1420691,3857292,2746577,816057
Wajir,2014,867231,3198284,2190638,1176532
Wajir,2015,867231,3198284,2190638,1176532
Wajir,2016,867231,3198284,2190638,1176532
Wajir,2017,867231,3198284,2190638,1176532
Wajir,2018,867231,3198284,2190638,1176532
Wajir,2019,867231,3198284,2190638,1176532
