County,SubCounty,Ward,sub location,lat,long,locality(Crush/Abattoir/Village/market),Date of start of outbreak,month,year,date,Month,year,Disease/Condition,Nature of diagnosis (clinical/lab/pm),Test used (if Laboratory),Species,No. at Risk,No. sick,Deaths,Slaughtered *,Destroyed **,"Production System(Intensive, Extensive, Mixed)",If Zoonosis No. of human beings affected,Disease Control Measure Undertaken***,No.of animals vaccinated,"Organisation (GOK, Private)",Source,,
Kilifi,Kilifi South,Mtwapa,Mtwapa,-3.877289,39.720299,village,02/02/2017,February,2017,1/20/1900,February,2017,Anthrax,Laboratory,MicroscopyBovine,Bovine,169,5,2,0,0,Extensive,Yes,"Decontamination, Vaccination",169,GoK,,,
Bomet,Bomet,,,-0.702225,35.262466,Village,,November,2014,05/12/2016,November,2014,Rabies,Lab,,Bovine,3,1,0,0,1,,,,,GOK,,,
Bomet,sotik,,,-0.757628,35.207866,Village,,November,2014,01/07/1900,November,2014,Rabies,Lab,,Bovine,1,1,0,0,1,,,,,GOK,,,
Embu,Embu West,Ngandori,,-0.461933,37.644571,Village,,July,2014,01/08/1900,July,2014,Anthrax,Clinical,,Bovine,3000,7,7,0,0,,,,,GOK,,,
Kericho,Kericho East,Maso()*,,-0.324751,35.280104,Village,,November,2014,01/12/1900,November,2014,Rabies,Lab,,Bovine,5,1,0,0,0,,,,,GOK,,,
Kericho,kericho West,,,-0.216883,35.523073,Village,,November,2014,01/03/1900,November,2014,Rabies,Lab,,Bovine,1,1,0,0,1,,,,,GOK,,,
Kericho,kericho,Ainamoi,,-0.27733,35.217876,Village,,November,2014,10/10/2017,November,2014,Rabies,Lab,,canine,1,1,0,0,1,,,,,GOK,,,
Kericho,kericho,Belgut,,-0.340642,35.221075,Village,,November,2014,10/10/2017,November,2014,Rabies,Lab,,Bovine,1,1,0,0,1,,,,,GOK,,,
Kericho,Buret,,,-0.591912,35.128925,Village,,November,2014,12/10/2017,November,2014,Rabies,Lab,,Bovine,3,1,0,0,1,,,,,GOK,,,
Kericho,Buret,,,-0.367816,35.285288,Village,,November,2014,16/10/2017,November,2014,Rabies,Lab,,Bovine,1,1,0,0,1,,,,,GOK,,,
Kericho,Kipkelion West,Kipkelion,,-0.216883,35.523073,Village,,November,2014,17/10/2017,November,2014,Rabies,Lab,,canine,1,1,0,0,1,,,,,GOK,,,
