"","date","human_incidence","animal_incidence","hum_cases","catt_cases","cam_cases","goat_cases","shp_cases","animal_cases"
"1",2014-01-01,0.1852,0,7778,NA,NA,NA,NA,0
"2",2014-02-01,0.19,0,7731,NA,NA,NA,NA,0
"3",2014-03-01,0.2179,0,8995,NA,NA,NA,NA,0
"4",2014-04-01,0.1915,0,8047,NA,NA,NA,NA,0
"5",2014-05-01,0.2052,0,8495,NA,NA,NA,NA,0
"6",2014-06-01,0.1968,0,8161,NA,NA,NA,NA,0
"7",2014-07-01,0.2254,0,9196,NA,NA,NA,NA,0
"8",2014-08-01,0.2424,0,9719,NA,NA,NA,NA,0
"9",2014-09-01,0.1879,0,7895,NA,NA,NA,NA,0
"10",2014-10-01,0.2169,0.0152,9218,2,NA,NA,NA,2
"11",2014-11-01,0.1599,0.0074,6933,1,NA,NA,NA,1
"12",2014-12-01,0.1784,0,7544,NA,NA,NA,NA,0
"13",2015-01-01,0.3959,0,17168,NA,NA,NA,NA,0
"14",2015-02-01,0.5354,0.0987,22497,13,NA,NA,NA,13
"15",2015-03-01,0.6144,0.2773,26643,13,1,23,NA,37
"16",2015-04-01,0.5553,0,24588,NA,NA,NA,NA,0
"17",2015-05-01,0.5891,0,25544,NA,NA,NA,NA,0
"18",2015-06-01,0.7107,0,30511,NA,NA,NA,NA,0
"19",2015-07-01,0.7801,0,34544,NA,NA,NA,NA,0
"20",2015-08-01,0.7093,0.0517,31406,NA,NA,7,NA,7
"21",2015-09-01,0.6485,0,28715,NA,NA,NA,NA,0
"22",2015-10-01,0.71,0,31440,NA,NA,NA,NA,0
"23",2015-11-01,0.6159,0,27273,NA,NA,NA,NA,0
"24",2015-12-01,0.6942,0.0149,30193,NA,NA,1,1,2
"25",2016-01-01,0.8202,0,36970,NA,NA,NA,NA,0
"26",2016-02-01,0.9828,0,44303,NA,NA,NA,NA,0
"27",2016-03-01,0.9446,0,42578,NA,NA,NA,NA,0
"28",2016-04-01,0.8337,0,36908,NA,NA,NA,NA,0
"29",2016-05-01,0.924,0,41651,NA,NA,NA,NA,0
"30",2016-06-01,1.0547,0,47540,NA,NA,NA,NA,0
