periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Brucellosis,MOH 705A Rev 2020_ Rift valley fever,MOH 705A Rev 2020_ Suspected anthrax,MOH 706_Brucella
202204,April 2022,202204,,PFu8alU2KWG,Embu County,KE_County_14,,66,,,471
202204,April 2022,202204,,t0J75eHKxz5,Nandi County,KE_County_29,,434,,,1118
202204,April 2022,202204,,kphDeKClFch,Turkana County,KE_County_23,,183,34,,573
202204,April 2022,202204,,xuFdFy6t9AH,Laikipia County,KE_County_31,,9,,,154
202204,April 2022,202204,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,357,,,962
202204,April 2022,202204,,u4t9H8XyU9P,Siaya County,KE_County_41,,55,,,218
202204,April 2022,202204,,ob6SxuRcqU4,Nakuru County,KE_County_32,,332,,,1854
202204,April 2022,202204,,sPkRcDvhGWA,Kisii County,KE_County_45,,501,,,2221
202204,April 2022,202204,,ahwTMNAJvrL,Muranga County,KE_County_21,,31,,1,56
202204,April 2022,202204,,tAbBVBbueqD,Kisumu County,KE_County_42,,88,,170,670
202204,April 2022,202204,,qKzosKQPl6G,Kiambu County,KE_County_22,,59,,,172
202204,April 2022,202204,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,7,,,51
202204,April 2022,202204,,JsH2bnvNt2d,Tana River County,KE_County_4,,20,,1,176
202204,April 2022,202204,,nrI2khZx3d0,Kilifi County,KE_County_3,,22,,,63
202204,April 2022,202204,,yhCUgGcCcOo,Machakos County,KE_County_16,,31,,1,207
202204,April 2022,202204,,kqJ83J2D72s,Narok County,KE_County_33,,365,,,1510
202204,April 2022,202204,,mYZacFNIB3h,Nyandarua County,KE_County_18,,35,,,418
202204,April 2022,202204,,ihZsJ8alvtb,Kericho County,KE_County_35,,374,,189,1541
202204,April 2022,202204,,XWALbfAPa6n,West Pokot County,KE_County_24,,445,,,1998
202204,April 2022,202204,,BjC1xL40gHo,Kakamega County,KE_County_37,,114,,,662
202204,April 2022,202204,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,672,,,3096
202204,April 2022,202204,,HMNARUV2CW4,Bomet County,KE_County_36,,87,,7,447
202204,April 2022,202204,,o36zCRjSd4G,Samburu County,KE_County_25,,30,,,263
202204,April 2022,202204,,CeLsrJOH0g9,Wajir County,KE_County_8,,37,,8,266
202204,April 2022,202204,,Y52XNJ50hYb,Meru County,KE_County_12,,167,,,230
202204,April 2022,202204,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,290,,,1400
202204,April 2022,202204,,sANMZ3lpqGs,Vihiga County,KE_County_38,,42,,,244
202204,April 2022,202204,,wsBsC6gjHvn,Mombasa County,KE_County_1,,1,,,18
202204,April 2022,202204,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,86,,,323
202204,April 2022,202204,,BoDytkJQ4Qi,Makueni County,KE_County_17,,69,,21,269
202204,April 2022,202204,,R6f9znhg37c,Mandera County,KE_County_9,,71,,,797
202204,April 2022,202204,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,199,,5,784
202204,April 2022,202204,,N7YETT3A9r1,Kwale County,KE_County_2,,13,,,
202204,April 2022,202204,,ptWVfaCIdVx,Nyeri County,KE_County_19,,7,,,125
202204,April 2022,202204,,uyOrcHZBpW0,Garissa County,KE_County_7,,70,,,731
202204,April 2022,202204,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,7,,,91
202204,April 2022,202204,,Tvf1zgVZ0K4,Busia County,KE_County_40,,76,,,328
202204,April 2022,202204,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,152,,,707
202204,April 2022,202204,,jkG3zaihdSs,Nairobi County,KE_County_47,,290,,,705
202204,April 2022,202204,,fVra3Pwta0Q,Migori County,KE_County_44,,324,,57,962
202204,April 2022,202204,,uepLTG8wGWJ,Nyamira County,KE_County_46,,113,,,400
202204,April 2022,202204,,vvOK1BxTbet,Baringo County,KE_County_30,,263,,,867
202204,April 2022,202204,,j8o6iO4Njsi,Kitui County,KE_County_15,,121,,,420
202204,April 2022,202204,,bzOfj0iwfDH,Isiolo County,KE_County_11,,155,,,611
202204,April 2022,202204,,Eey8fT4Im3y,Marsabit County,KE_County_10,,98,,,321
202204,April 2022,202204,,mThvosEflAU,Trans Nzoia County,KE_County_26,,607,,,1823
202304,April 2023,202304,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13,,,107
202304,April 2023,202304,,BoDytkJQ4Qi,Makueni County,KE_County_17,,73,,,135
202304,April 2023,202304,,sPkRcDvhGWA,Kisii County,KE_County_45,,623,,5,3973
202304,April 2023,202304,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,10,,,66
202304,April 2023,202304,,tAbBVBbueqD,Kisumu County,KE_County_42,,150,,2,633
202304,April 2023,202304,,N7YETT3A9r1,Kwale County,KE_County_2,,9,,,5
202304,April 2023,202304,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,222,,,623
202304,April 2023,202304,,PFu8alU2KWG,Embu County,KE_County_14,,36,,,497
202304,April 2023,202304,,CeLsrJOH0g9,Wajir County,KE_County_8,,24,,,321
202304,April 2023,202304,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,450,,,551
202304,April 2023,202304,,t0J75eHKxz5,Nandi County,KE_County_29,,406,,,1099
202304,April 2023,202304,,kphDeKClFch,Turkana County,KE_County_23,,111,,,718
202304,April 2023,202304,,ahwTMNAJvrL,Muranga County,KE_County_21,,8,,1,41
202304,April 2023,202304,,ihZsJ8alvtb,Kericho County,KE_County_35,,670,,,2536
202304,April 2023,202304,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,656,,,2382
202304,April 2023,202304,,HMNARUV2CW4,Bomet County,KE_County_36,,63,,6,634
202304,April 2023,202304,,xuFdFy6t9AH,Laikipia County,KE_County_31,,33,,,389
202304,April 2023,202304,,Tvf1zgVZ0K4,Busia County,KE_County_40,,100,,,569
202304,April 2023,202304,,fVra3Pwta0Q,Migori County,KE_County_44,,522,,,941
202304,April 2023,202304,,kqJ83J2D72s,Narok County,KE_County_33,,733,,2,1598
202304,April 2023,202304,,JsH2bnvNt2d,Tana River County,KE_County_4,,19,,2,58
202304,April 2023,202304,,bzOfj0iwfDH,Isiolo County,KE_County_11,,60,,,253
202304,April 2023,202304,,R6f9znhg37c,Mandera County,KE_County_9,,36,,,535
202304,April 2023,202304,,jkG3zaihdSs,Nairobi County,KE_County_47,,103,124,22,863
202304,April 2023,202304,,XWALbfAPa6n,West Pokot County,KE_County_24,,302,,,1383
202304,April 2023,202304,,mYZacFNIB3h,Nyandarua County,KE_County_18,,44,,,300
202304,April 2023,202304,,uepLTG8wGWJ,Nyamira County,KE_County_46,,230,,105,600
202304,April 2023,202304,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,203,1,3,642
202304,April 2023,202304,,BjC1xL40gHo,Kakamega County,KE_County_37,,187,9,1,882
202304,April 2023,202304,,yhCUgGcCcOo,Machakos County,KE_County_16,,19,,1,209
202304,April 2023,202304,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,42,,,427
202304,April 2023,202304,,uyOrcHZBpW0,Garissa County,KE_County_7,,62,,,547
202304,April 2023,202304,,qKzosKQPl6G,Kiambu County,KE_County_22,,12,,,127
202304,April 2023,202304,,ptWVfaCIdVx,Nyeri County,KE_County_19,,16,,,91
202304,April 2023,202304,,o36zCRjSd4G,Samburu County,KE_County_25,,24,,,327
202304,April 2023,202304,,u4t9H8XyU9P,Siaya County,KE_County_41,,84,,3,500
202304,April 2023,202304,,nrI2khZx3d0,Kilifi County,KE_County_3,,,,22,10
202304,April 2023,202304,,NjWSbQTwys4,Lamu County,KE_County_5,,1,,5,1
202304,April 2023,202304,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,610,,65,1429
202304,April 2023,202304,,ob6SxuRcqU4,Nakuru County,KE_County_32,,326,,2,2108
202304,April 2023,202304,,sANMZ3lpqGs,Vihiga County,KE_County_38,,30,,1,157
202304,April 2023,202304,,wsBsC6gjHvn,Mombasa County,KE_County_1,,1,,67,25
202304,April 2023,202304,,vvOK1BxTbet,Baringo County,KE_County_30,,353,,,901
202304,April 2023,202304,,mThvosEflAU,Trans Nzoia County,KE_County_26,,322,,,1954
202304,April 2023,202304,,j8o6iO4Njsi,Kitui County,KE_County_15,,87,,,403
202304,April 2023,202304,,Eey8fT4Im3y,Marsabit County,KE_County_10,,119,,,367
202304,April 2023,202304,,Y52XNJ50hYb,Meru County,KE_County_12,,148,,146,133
202404,April 2024,202404,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,34,,1,370
202404,April 2024,202404,,jkG3zaihdSs,Nairobi County,KE_County_47,,76,,97,755
202404,April 2024,202404,,R6f9znhg37c,Mandera County,KE_County_9,,67,,,227
202404,April 2024,202404,,BjC1xL40gHo,Kakamega County,KE_County_37,,117,,5,578
202404,April 2024,202404,,XWALbfAPa6n,West Pokot County,KE_County_24,,397,,,1411
202404,April 2024,202404,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,81,,,474
202404,April 2024,202404,,wsBsC6gjHvn,Mombasa County,KE_County_1,,1,,39,12
202404,April 2024,202404,,kqJ83J2D72s,Narok County,KE_County_33,,613,,,1277
202404,April 2024,202404,,CeLsrJOH0g9,Wajir County,KE_County_8,,56,,,545
202404,April 2024,202404,,N7YETT3A9r1,Kwale County,KE_County_2,,23,,17,15
202404,April 2024,202404,,uyOrcHZBpW0,Garissa County,KE_County_7,,86,,,778
202404,April 2024,202404,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,106,,340,664
202404,April 2024,202404,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,,,131
202404,April 2024,202404,,JsH2bnvNt2d,Tana River County,KE_County_4,,21,,,99
202404,April 2024,202404,,NjWSbQTwys4,Lamu County,KE_County_5,,1,,,1
202404,April 2024,202404,,ahwTMNAJvrL,Muranga County,KE_County_21,,51,,,56
202404,April 2024,202404,,ihZsJ8alvtb,Kericho County,KE_County_35,,396,,,1379
202404,April 2024,202404,,PFu8alU2KWG,Embu County,KE_County_14,,33,,,351
