"date","county","pop"
2014-01-01,"Baringo",598102
2014-01-01,"Bomet",817740
2014-01-01,"Bungoma",1537222
2014-01-01,"Busia",810293
2014-01-01,"Elgeyo Marakwet",422686
2014-01-01,"Embu",577895
2014-01-01,"Garissa",743978
2014-01-01,"Homa Bay",1027377
2014-01-01,"Isiolo",238079
2014-01-01,"Kajiado",989478
2014-01-01,"Kakamega",1706308
2014-01-01,"Kericho",842955
2014-01-01,"Kiambu",2191022
2014-01-01,"Kilifi",1320154
2014-01-01,"Kirinyaga",585497
2014-01-01,"Kisii",1207817
2014-01-01,"Kisumu",1060632
2014-01-01,"Kitui",1069633
2014-01-01,"Laikipia",469694
2014-01-01,"Lamu",126352
2014-01-01,"Machakos",1350195
2014-01-01,"Makueni",934042
2014-01-01,"Mandera",761572
2014-01-01,"Marsabit",408240
2014-01-01,"Meru",1450757
2014-01-01,"Migori",988235
2014-01-01,"Mombasa",1082243
2014-01-01,"Murang'a",1001307
2014-01-01,"Nairobi",4041978
2014-01-01,"Nakuru",1942522
2014-01-01,"Nandi",816256
2014-01-01,"Narok",1002532
2014-01-01,"Nyamira",588216
2014-01-01,"Nyandarua",580503
2014-01-01,"Samburu",269525
2014-01-01,"Siaya",906495
2014-01-01,"Taita Taveta",320392
2014-01-01,"Tana River",277521
2014-01-01,"Tharaka Nithi",372588
2014-01-01,"Trans Nzoia",901143
2014-01-01,"Turkana",813827
2014-01-01,"Uasin Gishu",1050892
2014-01-01,"Vihiga",565646
2014-01-01,"Wajir",684141
2014-01-01,"West Pokot",553860
2014-02-01,"Baringo",598102
2014-02-01,"Bomet",817740
2014-02-01,"Bungoma",1537222
2014-02-01,"Busia",810293
2014-02-01,"Elgeyo Marakwet",422686
2014-02-01,"Embu",577895
2014-02-01,"Garissa",743978
2014-02-01,"Homa Bay",1027377
2014-02-01,"Isiolo",238079
2014-02-01,"Kajiado",989478
2014-02-01,"Kakamega",1706308
2014-02-01,"Kericho",842955
2014-02-01,"Kiambu",2191022
2014-02-01,"Kisii",1207817
2014-02-01,"Kisumu",1060632
2014-02-01,"Kitui",1069633
2014-02-01,"Laikipia",469694
2014-02-01,"Machakos",1350195
2014-02-01,"Makueni",934042
2014-02-01,"Mandera",761572
2014-02-01,"Marsabit",408240
2014-02-01,"Meru",1450757
2014-02-01,"Migori",988235
2014-02-01,"Mombasa",1082243
2014-02-01,"Murang'a",1001307
2014-02-01,"Nairobi",4041978
2014-02-01,"Nakuru",1942522
2014-02-01,"Nandi",816256
2014-02-01,"Narok",1002532
2014-02-01,"Nyamira",588216
2014-02-01,"Nyandarua",580503
2014-02-01,"Nyeri",720500
2014-02-01,"Samburu",269525
2014-02-01,"Siaya",906495
2014-02-01,"Taita Taveta",320392
2014-02-01,"Tana River",277521
2014-02-01,"Tharaka Nithi",372588
2014-02-01,"Trans Nzoia",901143
2014-02-01,"Turkana",813827
2014-02-01,"Uasin Gishu",1050892
2014-02-01,"Vihiga",565646
2014-02-01,"Wajir",684141
2014-02-01,"West Pokot",553860
2014-03-01,"Baringo",598102
2014-03-01,"Bomet",817740
2014-03-01,"Bungoma",1537222
2014-03-01,"Busia",810293
2014-03-01,"Elgeyo Marakwet",422686
2014-03-01,"Embu",577895
2014-03-01,"Garissa",743978
2014-03-01,"Homa Bay",1027377
2014-03-01,"Isiolo",238079
2014-03-01,"Kajiado",989478
2014-03-01,"Kakamega",1706308
2014-03-01,"Kericho",842955
2014-03-01,"Kiambu",2191022
2014-03-01,"Kirinyaga",585497
2014-03-01,"Kisii",1207817
2014-03-01,"Kisumu",1060632
2014-03-01,"Kitui",1069633
2014-03-01,"Laikipia",469694
2014-03-01,"Machakos",1350195
2014-03-01,"Makueni",934042
2014-03-01,"Mandera",761572
2014-03-01,"Marsabit",408240
2014-03-01,"Meru",1450757
2014-03-01,"Migori",988235
2014-03-01,"Mombasa",1082243
2014-03-01,"Murang'a",1001307
2014-03-01,"Nairobi",4041978
2014-03-01,"Nakuru",1942522
2014-03-01,"Nandi",816256
2014-03-01,"Narok",1002532
2014-03-01,"Nyamira",588216
2014-03-01,"Nyandarua",580503
2014-03-01,"Nyeri",720500
2014-03-01,"Samburu",269525
2014-03-01,"Siaya",906495
2014-03-01,"Taita Taveta",320392
2014-03-01,"Tana River",277521
2014-03-01,"Tharaka Nithi",372588
2014-03-01,"Trans Nzoia",901143
2014-03-01,"Turkana",813827
2014-03-01,"Uasin Gishu",1050892
2014-03-01,"Vihiga",565646
2014-03-01,"Wajir",684141
2014-03-01,"West Pokot",553860
2014-04-01,"Baringo",598102
2014-04-01,"Bomet",817740
2014-04-01,"Bungoma",1537222
2014-04-01,"Busia",810293
2014-04-01,"Elgeyo Marakwet",422686
2014-04-01,"Embu",577895
2014-04-01,"Garissa",743978
2014-04-01,"Homa Bay",1027377
2014-04-01,"Isiolo",238079
2014-04-01,"Kajiado",989478
2014-04-01,"Kakamega",1706308
2014-04-01,"Kericho",842955
2014-04-01,"Kiambu",2191022
2014-04-01,"Kilifi",1320154
2014-04-01,"Kisii",1207817
2014-04-01,"Kisumu",1060632
2014-04-01,"Kitui",1069633
2014-04-01,"Laikipia",469694
2014-04-01,"Machakos",1350195
2014-04-01,"Makueni",934042
2014-04-01,"Mandera",761572
2014-04-01,"Marsabit",408240
2014-04-01,"Meru",1450757
2014-04-01,"Migori",988235
2014-04-01,"Mombasa",1082243
2014-04-01,"Murang'a",1001307
2014-04-01,"Nairobi",4041978
2014-04-01,"Nakuru",1942522
2014-04-01,"Nandi",816256
2014-04-01,"Narok",1002532
2014-04-01,"Nyamira",588216
2014-04-01,"Nyandarua",580503
2014-04-01,"Nyeri",720500
2014-04-01,"Samburu",269525
2014-04-01,"Siaya",906495
2014-04-01,"Taita Taveta",320392
2014-04-01,"Tana River",277521
2014-04-01,"Tharaka Nithi",372588
2014-04-01,"Trans Nzoia",901143
2014-04-01,"Turkana",813827
2014-04-01,"Uasin Gishu",1050892
2014-04-01,"Vihiga",565646
2014-04-01,"Wajir",684141
2014-04-01,"West Pokot",553860
2014-05-01,"Baringo",598102
2014-05-01,"Bomet",817740
2014-05-01,"Bungoma",1537222
2014-05-01,"Busia",810293
2014-05-01,"Elgeyo Marakwet",422686
2014-05-01,"Embu",577895
2014-05-01,"Garissa",743978
2014-05-01,"Homa Bay",1027377
2014-05-01,"Isiolo",238079
2014-05-01,"Kajiado",989478
2014-05-01,"Kakamega",1706308
2014-05-01,"Kericho",842955
2014-05-01,"Kiambu",2191022
2014-05-01,"Kirinyaga",585497
2014-05-01,"Kisii",1207817
2014-05-01,"Kisumu",1060632
2014-05-01,"Kitui",1069633
2014-05-01,"Laikipia",469694
2014-05-01,"Lamu",126352
2014-05-01,"Machakos",1350195
2014-05-01,"Makueni",934042
2014-05-01,"Mandera",761572
2014-05-01,"Marsabit",408240
2014-05-01,"Meru",1450757
2014-05-01,"Migori",988235
2014-05-01,"Mombasa",1082243
2014-05-01,"Murang'a",1001307
2014-05-01,"Nairobi",4041978
2014-05-01,"Nakuru",1942522
2014-05-01,"Nandi",816256
2014-05-01,"Narok",1002532
2014-05-01,"Nyamira",588216
2014-05-01,"Nyandarua",580503
2014-05-01,"Nyeri",720500
2014-05-01,"Samburu",269525
2014-05-01,"Siaya",906495
2014-05-01,"Taita Taveta",320392
2014-05-01,"Tana River",277521
2014-05-01,"Tharaka Nithi",372588
2014-05-01,"Trans Nzoia",901143
2014-05-01,"Turkana",813827
2014-05-01,"Uasin Gishu",1050892
2014-05-01,"Vihiga",565646
2014-05-01,"Wajir",684141
2014-05-01,"West Pokot",553860
2014-06-01,"Baringo",598102
2014-06-01,"Bomet",817740
2014-06-01,"Bungoma",1537222
2014-06-01,"Busia",810293
2014-06-01,"Elgeyo Marakwet",422686
2014-06-01,"Embu",577895
2014-06-01,"Garissa",743978
2014-06-01,"Homa Bay",1027377
2014-06-01,"Isiolo",238079
2014-06-01,"Kajiado",989478
2014-06-01,"Kakamega",1706308
2014-06-01,"Kericho",842955
2014-06-01,"Kiambu",2191022
2014-06-01,"Kisii",1207817
2014-06-01,"Kisumu",1060632
2014-06-01,"Kitui",1069633
2014-06-01,"Kwale",768857
2014-06-01,"Laikipia",469694
2014-06-01,"Machakos",1350195
2014-06-01,"Makueni",934042
2014-06-01,"Mandera",761572
2014-06-01,"Marsabit",408240
2014-06-01,"Meru",1450757
2014-06-01,"Migori",988235
2014-06-01,"Mombasa",1082243
2014-06-01,"Murang'a",1001307
2014-06-01,"Nairobi",4041978
2014-06-01,"Nakuru",1942522
2014-06-01,"Nandi",816256
2014-06-01,"Narok",1002532
2014-06-01,"Nyamira",588216
2014-06-01,"Nyandarua",580503
2014-06-01,"Nyeri",720500
2014-06-01,"Samburu",269525
2014-06-01,"Siaya",906495
2014-06-01,"Taita Taveta",320392
2014-06-01,"Tana River",277521
2014-06-01,"Tharaka Nithi",372588
2014-06-01,"Trans Nzoia",901143
2014-06-01,"Turkana",813827
2014-06-01,"Uasin Gishu",1050892
2014-06-01,"Vihiga",565646
2014-06-01,"Wajir",684141
2014-06-01,"West Pokot",553860
2014-07-01,"Baringo",598102
2014-07-01,"Bomet",817740
2014-07-01,"Bungoma",1537222
2014-07-01,"Busia",810293
2014-07-01,"Elgeyo Marakwet",422686
2014-07-01,"Embu",577895
2014-07-01,"Garissa",743978
2014-07-01,"Homa Bay",1027377
2014-07-01,"Isiolo",238079
2014-07-01,"Kajiado",989478
2014-07-01,"Kakamega",1706308
2014-07-01,"Kericho",842955
2014-07-01,"Kiambu",2191022
2014-07-01,"Kilifi",1320154
2014-07-01,"Kirinyaga",585497
2014-07-01,"Kisii",1207817
2014-07-01,"Kisumu",1060632
2014-07-01,"Kitui",1069633
2014-07-01,"Laikipia",469694
2014-07-01,"Machakos",1350195
2014-07-01,"Makueni",934042
2014-07-01,"Mandera",761572
2014-07-01,"Marsabit",408240
2014-07-01,"Meru",1450757
2014-07-01,"Migori",988235
2014-07-01,"Murang'a",1001307
2014-07-01,"Nairobi",4041978
2014-07-01,"Nakuru",1942522
2014-07-01,"Nandi",816256
2014-07-01,"Narok",1002532
2014-07-01,"Nyamira",588216
2014-07-01,"Nyandarua",580503
2014-07-01,"Samburu",269525
2014-07-01,"Siaya",906495
2014-07-01,"Taita Taveta",320392
2014-07-01,"Tana River",277521
2014-07-01,"Tharaka Nithi",372588
2014-07-01,"Trans Nzoia",901143
2014-07-01,"Turkana",813827
2014-07-01,"Uasin Gishu",1050892
2014-07-01,"Vihiga",565646
2014-07-01,"Wajir",684141
2014-07-01,"West Pokot",553860
2014-08-01,"Baringo",598102
2014-08-01,"Bomet",817740
2014-08-01,"Bungoma",1537222
2014-08-01,"Busia",810293
2014-08-01,"Elgeyo Marakwet",422686
2014-08-01,"Embu",577895
2014-08-01,"Garissa",743978
2014-08-01,"Homa Bay",1027377
2014-08-01,"Isiolo",238079
2014-08-01,"Kajiado",989478
2014-08-01,"Kakamega",1706308
2014-08-01,"Kericho",842955
2014-08-01,"Kiambu",2191022
2014-08-01,"Kisii",1207817
2014-08-01,"Kisumu",1060632
2014-08-01,"Kitui",1069633
2014-08-01,"Laikipia",469694
2014-08-01,"Lamu",126352
2014-08-01,"Machakos",1350195
2014-08-01,"Makueni",934042
2014-08-01,"Mandera",761572
2014-08-01,"Marsabit",408240
2014-08-01,"Meru",1450757
2014-08-01,"Migori",988235
2014-08-01,"Mombasa",1082243
2014-08-01,"Murang'a",1001307
2014-08-01,"Nairobi",4041978
2014-08-01,"Nakuru",1942522
2014-08-01,"Nandi",816256
2014-08-01,"Narok",1002532
2014-08-01,"Nyamira",588216
2014-08-01,"Nyandarua",580503
2014-08-01,"Samburu",269525
2014-08-01,"Siaya",906495
2014-08-01,"Taita Taveta",320392
2014-08-01,"Tana River",277521
2014-08-01,"Tharaka Nithi",372588
2014-08-01,"Trans Nzoia",901143
2014-08-01,"Turkana",813827
2014-08-01,"Uasin Gishu",1050892
2014-08-01,"Vihiga",565646
2014-08-01,"Wajir",684141
2014-08-01,"West Pokot",553860
2014-09-01,"Baringo",598102
2014-09-01,"Bomet",817740
2014-09-01,"Bungoma",1537222
2014-09-01,"Busia",810293
2014-09-01,"Elgeyo Marakwet",422686
2014-09-01,"Embu",577895
2014-09-01,"Garissa",743978
2014-09-01,"Homa Bay",1027377
2014-09-01,"Isiolo",238079
2014-09-01,"Kajiado",989478
2014-09-01,"Kakamega",1706308
2014-09-01,"Kericho",842955
2014-09-01,"Kiambu",2191022
2014-09-01,"Kilifi",1320154
2014-09-01,"Kisii",1207817
2014-09-01,"Kisumu",1060632
2014-09-01,"Kitui",1069633
2014-09-01,"Laikipia",469694
2014-09-01,"Machakos",1350195
2014-09-01,"Makueni",934042
2014-09-01,"Mandera",761572
2014-09-01,"Marsabit",408240
2014-09-01,"Meru",1450757
2014-09-01,"Migori",988235
2014-09-01,"Mombasa",1082243
2014-09-01,"Murang'a",1001307
2014-09-01,"Nairobi",4041978
2014-09-01,"Nakuru",1942522
2014-09-01,"Nandi",816256
2014-09-01,"Narok",1002532
2014-09-01,"Nyamira",588216
2014-09-01,"Nyandarua",580503
2014-09-01,"Nyeri",720500
2014-09-01,"Samburu",269525
2014-09-01,"Siaya",906495
2014-09-01,"Taita Taveta",320392
2014-09-01,"Tana River",277521
2014-09-01,"Tharaka Nithi",372588
2014-09-01,"Trans Nzoia",901143
2014-09-01,"Turkana",813827
2014-09-01,"Uasin Gishu",1050892
2014-09-01,"Vihiga",565646
2014-09-01,"Wajir",684141
2014-09-01,"West Pokot",553860
2014-10-01,"Baringo",598102
2014-10-01,"Bomet",817740
2014-10-01,"Bungoma",1537222
2014-10-01,"Busia",810293
2014-10-01,"Elgeyo Marakwet",422686
2014-10-01,"Embu",577895
2014-10-01,"Garissa",743978
2014-10-01,"Homa Bay",1027377
2014-10-01,"Isiolo",238079
2014-10-01,"Kajiado",989478
2014-10-01,"Kakamega",1706308
2014-10-01,"Kericho",842955
2014-10-01,"Kiambu",2191022
2014-10-01,"Kilifi",1320154
2014-10-01,"Kisii",1207817
2014-10-01,"Kisumu",1060632
2014-10-01,"Kitui",1069633
2014-10-01,"Kwale",768857
2014-10-01,"Laikipia",469694
2014-10-01,"Machakos",1350195
2014-10-01,"Makueni",934042
2014-10-01,"Mandera",761572
2014-10-01,"Marsabit",408240
2014-10-01,"Meru",1450757
2014-10-01,"Migori",988235
2014-10-01,"Mombasa",1082243
2014-10-01,"Murang'a",1001307
2014-10-01,"Nairobi",4041978
2014-10-01,"Nakuru",1942522
2014-10-01,"Nandi",816256
2014-10-01,"Narok",1002532
2014-10-01,"Nyamira",588216
2014-10-01,"Nyandarua",580503
2014-10-01,"Nyeri",720500
2014-10-01,"Samburu",269525
2014-10-01,"Siaya",906495
2014-10-01,"Taita Taveta",320392
2014-10-01,"Tharaka Nithi",372588
2014-10-01,"Trans Nzoia",901143
2014-10-01,"Turkana",813827
2014-10-01,"Uasin Gishu",1050892
2014-10-01,"Vihiga",565646
2014-10-01,"Wajir",684141
2014-10-01,"West Pokot",553860
2014-11-01,"Baringo",598102
2014-11-01,"Bomet",817740
2014-11-01,"Bungoma",1537222
2014-11-01,"Busia",810293
2014-11-01,"Elgeyo Marakwet",422686
2014-11-01,"Embu",577895
2014-11-01,"Garissa",743978
2014-11-01,"Homa Bay",1027377
2014-11-01,"Isiolo",238079
2014-11-01,"Kajiado",989478
2014-11-01,"Kakamega",1706308
2014-11-01,"Kericho",842955
2014-11-01,"Kiambu",2191022
2014-11-01,"Kilifi",1320154
2014-11-01,"Kirinyaga",585497
2014-11-01,"Kisii",1207817
2014-11-01,"Kisumu",1060632
2014-11-01,"Kitui",1069633
2014-11-01,"Kwale",768857
2014-11-01,"Laikipia",469694
2014-11-01,"Machakos",1350195
2014-11-01,"Makueni",934042
2014-11-01,"Mandera",761572
2014-11-01,"Marsabit",408240
