"date","county","human_incidence","catt_incidence","goat_incidence","hum_cases","catt_cases","goat_cases"
2019-05-01,"Baringo",1.5808,14.6396,0,1054,12,0
2019-06-01,"Baringo",1.4188,1.22,0,946,1,0
2019-09-01,"Baringo",2.7521,1.22,0,1835,1,0
2018-04-01,"Bomet",0.6634,1.5713,0,573,1,0
2018-06-01,"Bomet",1.1936,1.5713,0,1031,1,0
2018-07-01,"Bomet",1.16,4.7139,0,1002,3,0
2018-10-01,"Bomet",1.27,1.5713,0,1097,1,0
2019-01-01,"Bomet",1.3978,1.5713,0,1224,1,0
2019-02-01,"Bomet",1.1637,1.5713,0,1019,1,0
2019-07-01,"Bomet",1.5576,4.7139,0,1364,3,0
2019-08-01,"Bomet",1.7632,1.5713,0,1544,1,0
2021-06-01,"Bomet",1.3206,3.1426,0,1207,2,0
2021-05-01,"Bungoma",3.2684,1.4235,0,5651,1,0
2021-12-01,"Bungoma",3.7617,1.4235,0,6504,1,0
2019-12-01,"Busia",0.7262,2.4198,0,649,1,0
2021-05-01,"Busia",0.618,2.4198,0,576,1,0
2020-07-01,"Embu",0.8156,3.6123,0,513,1,0
2020-10-01,"Embu",1.159,3.6123,0,729,1,0
2021-03-01,"Garissa",1.0227,0.7039,0.6481,903,2,5
2021-02-01,"Kakamega",0.4006,3.7179,0,774,3,0
2021-03-01,"Kakamega",0.4498,1.2393,0,869,1,0
2021-04-01,"Kakamega",0.4451,2.4786,0,860,2,0
2019-05-01,"Kericho",2.4163,2.0691,0,2179,1,0
2018-07-01,"Kilifi",0.0463,29.6037,0,66,14,0
2015-02-01,"Kirinyaga",0.0017,8.588,0,1,2,0
2019-10-01,"Kisii",3.4897,2.3057,0,4421,1,0
2019-11-01,"Kisii",3.0769,2.3057,0,3898,1,0
2020-01-01,"Kisii",3.1897,2.3057,0,4169,1,0
2020-11-01,"Kitui",0.8061,1.455,0.3648,956,1,1
2021-04-01,"Laikipia",0.757,14.8112,0,408,8,0
2020-07-01,"Machakos",0.3578,1.3799,0.8001,516,1,1
2020-10-01,"Machakos",0.5097,1.3799,0,735,1,0
2021-01-01,"Machakos",0.4159,1.3799,0,606,1,0
2021-02-01,"Machakos",0.3644,1.3799,0,531,1,0
2021-03-01,"Machakos",0.3466,1.3799,0,505,1,0
2018-09-01,"Makueni",0.4863,1.5347,0,475,1,0
2019-02-01,"Makueni",0.4742,1.5347,0.6253,468.3,1,1
2019-06-01,"Makueni",0.3139,1.5347,0,310,1,0
2019-09-01,"Makueni",0.2025,1.5347,0,200,1,0
2019-11-01,"Makueni",0.3341,1.5347,0,330,1,0
2020-10-01,"Makueni",0.3165,1.5347,0,319,1,0
2019-07-01,"Mandera",0.9891,5.0719,0.2041,858,12,2
