county,year,date,diagnosis,hum_cases,pop,catt_cases,cam_cases,goat_cases,shp_cases,catt_pop,goat_pop,sheep_pop,cam_pop,hum_incidence,catt_incidence,cam_incidence,goat_incidence,shp_incidence
Baringo,2014,2014-01-01,Clinically confirmed,168,598102,,,,,,,,,280.888544094486,,,,
Baringo,2014,2014-01-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-02-01,Clinically confirmed,122,598102,,,,,,,,,203.978585592424,,,,
Baringo,2014,2014-02-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-03-01,Clinically confirmed,178,598102,,,,,,,,,297.608100290586,,,,
Baringo,2014,2014-03-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-04-01,Clinically confirmed,140,598102,,,,,,,,,234.073786745405,,,,
Baringo,2014,2014-04-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-05-01,Clinically confirmed,127,598102,,,,,,,,,212.338363690474,,,,
Baringo,2014,2014-05-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-06-01,Clinically confirmed,165,598102,,,,,,,,,275.872677235655,,,,
Baringo,2014,2014-06-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-07-01,Clinically confirmed,122,598102,,,,,,,,,203.978585592424,,,,
Baringo,2014,2014-07-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-08-01,Clinically confirmed,171,598102,,,,,,,,,285.904410953316,,,,
Baringo,2014,2014-08-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-09-01,Clinically confirmed,200,598102,,,,,,,,,334.391123922007,,,,
Baringo,2014,2014-09-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-10-01,Clinically confirmed,234,598102,,,,,,,,,391.237614988748,,,,
Baringo,2014,2014-10-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-11-01,Clinically confirmed,129,598102,,,,,,,,,215.682274929694,,,,
Baringo,2014,2014-11-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2014,2014-12-01,Clinically confirmed,142,598102,,,,,,,,,237.417697984625,,,,
Baringo,2014,2014-12-01,Lab confirmed,,598102,,,,,,,,,,,,,
Baringo,2015,2015-01-01,Clinically confirmed,165,611244,,,,,,,,,269.941300037301,,,,
Baringo,2015,2015-01-01,Lab confirmed,100,611244,,,,,,,,,163.600787901395,,,,
Baringo,2015,2015-02-01,Clinically confirmed,293,611244,,,,,,,,,479.350308551086,,,,
Baringo,2015,2015-02-01,Lab confirmed,310,611244,,,,,,,,,507.162442494323,,,,
Baringo,2015,2015-03-01,Clinically confirmed,168,611244,,,,,,,,,274.849323674343,,,,
Baringo,2015,2015-03-01,Lab confirmed,553,611244,,,,,,,,,904.712357094712,,,,
Baringo,2015,2015-04-01,Clinically confirmed,124,611244,,,,,,,,,202.864976997729,,,,
Baringo,2015,2015-04-01,Lab confirmed,324,611244,,,,,,,,,530.066552800518,,,,
Baringo,2015,2015-05-01,Clinically confirmed,183,611244,,,,,,,,,299.389441859552,,,,
Baringo,2015,2015-05-01,Lab confirmed,265,611244,,,,,,,,,433.542087938696,,,,
Baringo,2015,2015-06-01,Clinically confirmed,190,611244,,,,,,,,,310.84149701265,,,,
Baringo,2015,2015-06-01,Lab confirmed,271,611244,,,,,,,,,443.358135212779,,,,
Baringo,2015,2015-07-01,Clinically confirmed,209,611244,,,,,,,,,341.925646713915,,,,
Baringo,2015,2015-07-01,Lab confirmed,519,611244,,,,,,,,,849.088089208238,,,,
Baringo,2015,2015-08-01,Clinically confirmed,145,611244,,,,,,,,,237.221142457022,,,,
Baringo,2015,2015-08-01,Lab confirmed,409,611244,,,,,,,,,669.127222516704,,,,
Baringo,2015,2015-09-01,Clinically confirmed,163,611244,,,,,,,,,266.669284279273,,,,
Baringo,2015,2015-09-01,Lab confirmed,580,611244,,,,,,,,,948.884569828088,,,,
Baringo,2015,2015-10-01,Clinically confirmed,131,611244,,,,,,,,,214.317032150827,,,,
Baringo,2015,2015-10-01,Lab confirmed,729,611244,,,,,,,,,1192.64974380117,,,,
Baringo,2015,2015-11-01,Clinically confirmed,120,611244,,,,,,,,,196.320945481673,,,,
Baringo,2015,2015-11-01,Lab confirmed,255,611244,,,,,,,,,417.182009148556,,,,
Baringo,2015,2015-12-01,Clinically confirmed,172,611244,,,,,,,,,281.393355190399,,,,
Baringo,2015,2015-12-01,Lab confirmed,309,611244,,,,,,,,,505.526434615309,,,,
Baringo,2016,2016-01-01,Clinically confirmed,175,624675,,,,,,,,,280.145675751391,,,,
Baringo,2016,2016-01-01,Lab confirmed,734,624675,,,,,,,,,1175.01100572298,,,,
Baringo,2016,2016-02-01,Clinically confirmed,222,624675,,,,,,,,,355.38480009605,,,,
Baringo,2016,2016-02-01,Lab confirmed,899,624675,,,,,,,,,1439.14835714572,,,,
Baringo,2016,2016-03-01,Clinically confirmed,172,624675,,,,,,,,,275.343178452795,,,,
Baringo,2016,2016-03-01,Lab confirmed,902,624675,,,,,,,,,1443.95085444431,,,,
Baringo,2016,2016-04-01,Clinically confirmed,154,624675,,,,,,,,,246.528194661224,,,,
Baringo,2016,2016-04-01,Lab confirmed,435,624675,,,,,,,,,696.362108296314,,,,
Baringo,2016,2016-05-01,Clinically confirmed,167,624675,,,,,,,,,267.33901628847,,,,
Baringo,2016,2016-05-01,Lab confirmed,225,624675,,,,,,,,,360.187297394645,,,,
Baringo,2016,2016-06-01,Clinically confirmed,173,624675,,,,,,,,,276.944010885661,,,,
Baringo,2016,2016-06-01,Lab confirmed,491,624675,,,,,,,,,786.008724536759,,,,
Baringo,2016,2016-07-01,Clinically confirmed,219,624675,,,,,,,,,350.582302797455,,,,
Baringo,2016,2016-07-01,Lab confirmed,818,624675,,,,,,,,,1309.48093008364,,,,
Baringo,2016,2016-08-01,Clinically confirmed,162,624675,,,,,,,,,259.334854124145,,,,
Baringo,2016,2016-08-01,Lab confirmed,677,624675,,,,,,,,,1083.76355704967,,,,
Baringo,2016,2016-09-01,Clinically confirmed,419,624675,,,,,,,,,670.748789370473,,,,
Baringo,2016,2016-09-01,Lab confirmed,603,624675,,,,,,,,,965.301957017649,,,,
Baringo,2016,2016-10-01,Clinically confirmed,246,624675,,,,,,,,,393.804778484812,,,,
Baringo,2016,2016-10-01,Lab confirmed,543,624675,,,,,,,,,869.252011045744,,,,
Baringo,2016,2016-11-01,Clinically confirmed,151,624675,,,,,,,,,241.725697362629,,,,
Baringo,2016,2016-11-01,Lab confirmed,405,624675,,,,,,,,,648.337135310361,,,,
Baringo,2016,2016-12-01,Clinically confirmed,179,624675,,,,,,,,,286.549005482851,,,,
Baringo,2016,2016-12-01,Lab confirmed,317,624675,,,,,,,,,507.463881218234,,,,
Baringo,2017,2017-01-01,Clinically confirmed,240,638401,,,,,,,,,375.939260746772,,,,
Baringo,2017,2017-01-01,Lab confirmed,693,638401,,,,,,,,,1085.5246154063,,,,
Baringo,2017,2017-02-01,Clinically confirmed,321,638401,,,,,,,,,502.818761248808,,,,
Baringo,2017,2017-02-01,Lab confirmed,813,638401,,,,,,,,,1273.49424577969,,,,
Baringo,2017,2017-03-01,Clinically confirmed,210,638401,,,,,,,,,328.946853153425,,,,
Baringo,2017,2017-03-01,Lab confirmed,708,638401,,,,,,,,,1109.02081920298,,,,
Baringo,2017,2017-04-01,Clinically confirmed,373,638401,,,,,,,,,584.272267743942,,,,
Baringo,2017,2017-04-01,Lab confirmed,445,638401,,,,,,,,,697.054045967973,,,,
Baringo,2017,2017-05-01,Clinically confirmed,220,638401,,,,,,,,,344.610989017874,,,,
Baringo,2017,2017-05-01,Lab confirmed,561,638401,,,,,,,,,878.75802199558,,,,
Baringo,2017,2017-06-01,Clinically confirmed,213,638401,,,,,,,,,333.64609391276,,,,
Baringo,2017,2017-06-01,Lab confirmed,279,638401,,,,,,,,,437.029390618122,,,,
Baringo,2017,2017-07-01,Clinically confirmed,109,638401,,,,,,,,,170.739080922492,,,,
Baringo,2017,2017-07-01,Lab confirmed,290,638401,,,,,,,,,454.259940069016,,,,
Baringo,2017,2017-08-01,Clinically confirmed,116,638401,,,,,,,,,181.703976027606,,,,
Baringo,2017,2017-08-01,Lab confirmed,301,638401,,,,,,,,,471.49048951991,,,,
Baringo,2017,2017-09-01,Clinically confirmed,108,638401,,,,,,,,,169.172667336047,,,,
