"","year","date","county","human_incidence","catt_incidence","cam_incidence","goat_incidence","shp_incidence","hum_cases","catt_cases","cam_cases","goat_cases","shp_cases"
"1",2014,2014-01-01,"Baringo",0.2809,0,0,0,0,168,0,0,0,0
"2",2014,2014-12-01,"Baringo",0.2374,0,0,0,0,142,0,0,0,0
"3",2014,2014-05-01,"Baringo",0.2123,0,0,0,0,127,0,0,0,0
"4",2014,2014-09-01,"Baringo",0.3344,0,0,0,0,200,0,0,0,0
"5",2014,2014-03-01,"Baringo",0.2976,0,0,0,0,178,0,0,0,0
"6",2014,2014-02-01,"Baringo",0.204,0,0,0,0,122,0,0,0,0
"7",2014,2014-07-01,"Baringo",0.204,0,0,0,0,122,0,0,0,0
"8",2014,2014-06-01,"Baringo",0.2759,0,0,0,0,165,0,0,0,0
"9",2014,2014-11-01,"Baringo",0.2157,0,0,0,0,129,0,0,0,0
"10",2014,2014-10-01,"Baringo",0.3912,0,0,0,0,234,0,0,0,0
"11",2014,2014-04-01,"Baringo",0.2341,0,0,0,0,140,0,0,0,0
"12",2014,2014-08-01,"Baringo",0.2859,0,0,0,0,171,0,0,0,0
"13",2014,2014-09-01,"Bomet",0.2678,0,NA,0,0,219,0,0,0,0
"14",2014,2014-04-01,"Bomet",0.1602,0,NA,0,0,131,0,0,0,0
"15",2014,2014-02-01,"Bomet",0.1455,0,NA,0,0,119,0,0,0,0
"16",2014,2014-12-01,"Bomet",0.1198,0,NA,0,0,98,0,0,0,0
"17",2014,2014-05-01,"Bomet",0.1553,0,NA,0,0,127,0,0,0,0
"18",2014,2014-06-01,"Bomet",0.1443,0,NA,0,0,118,0,0,0,0
"19",2014,2014-08-01,"Bomet",0.3106,0,NA,0,0,254,0,0,0,0
"20",2014,2014-10-01,"Bomet",0.3974,0,NA,0,0,325,0,0,0,0
"21",2014,2014-07-01,"Bomet",0.2972,0,NA,0,0,243,0,0,0,0
"22",2014,2014-03-01,"Bomet",0.2568,0,NA,0,0,210,0,0,0,0
"23",2014,2014-11-01,"Bomet",0.1822,0,NA,0,0,149,0,0,0,0
"24",2014,2014-01-01,"Bomet",0.1443,0,NA,0,0,118,0,0,0,0
"25",2014,2014-05-01,"Bungoma",0.0956,0,NA,0,0,147,0,0,0,0
"26",2014,2014-07-01,"Bungoma",0.1099,0,NA,0,0,169,0,0,0,0
"27",2014,2014-04-01,"Bungoma",0.1295,0,NA,0,0,199,0,0,0,0
"28",2014,2014-06-01,"Bungoma",0.082,0,NA,0,0,126,0,0,0,0
"29",2014,2014-02-01,"Bungoma",0.1002,0,NA,0,0,154,0,0,0,0
"30",2014,2014-12-01,"Bungoma",0.1216,0,NA,0,0,187,0,0,0,0
"31",2014,2014-01-01,"Bungoma",0.0924,0,NA,0,0,142,0,0,0,0
"32",2014,2014-09-01,"Bungoma",0.0898,0,NA,0,0,138,0,0,0,0
"33",2014,2014-10-01,"Bungoma",0.1269,0,NA,0,0,195,0,0,0,0
"34",2014,2014-03-01,"Bungoma",0.162,0,NA,0,0,249,0,0,0,0
"35",2014,2014-11-01,"Bungoma",0.0956,0,NA,0,0,147,0,0,0,0
"36",2014,2014-08-01,"Bungoma",0.0729,0,NA,0,0,112,0,0,0,0
"37",2014,2014-04-01,"Busia",0.5035,0,NA,0,0,408,0,0,0,0
"38",2014,2014-12-01,"Busia",0.0765,0,NA,0,0,62,0,0,0,0
"39",2014,2014-05-01,"Busia",0.2012,0,NA,0,0,163,0,0,0,0
"40",2014,2014-10-01,"Busia",0.1419,0,NA,0,0,115,0,0,0,0
"41",2014,2014-01-01,"Busia",0.0432,0,NA,0,0,35,0,0,0,0
"42",2014,2014-07-01,"Busia",0.0592,0,NA,0,0,48,0,0,0,0
"43",2014,2014-11-01,"Busia",0.1728,0,NA,0,0,140,0,0,0,0
"44",2014,2014-03-01,"Busia",0.5492,0,NA,0,0,445,0,0,0,0
"45",2014,2014-02-01,"Busia",0.0666,0,NA,0,0,54,0,0,0,0
"46",2014,2014-09-01,"Busia",0.0728,0,NA,0,0,59,0,0,0,0
"47",2014,2014-08-01,"Busia",0.1938,0,NA,0,0,157,0,0,0,0
"48",2014,2014-06-01,"Busia",0.0531,0,NA,0,0,43,0,0,0,0
"49",2014,2014-05-01,"Elgeyo Marakwet",0.6956,0,0,0,0,294,0,0,0,0
"50",2014,2014-11-01,"Elgeyo Marakwet",0.8635,0,0,0,0,365,0,0,0,0
"51",2014,2014-02-01,"Elgeyo Marakwet",0.4613,0,0,0,0,195,0,0,0,0
"52",2014,2014-09-01,"Elgeyo Marakwet",1.8099,0,0,0,0,765,0,0,0,0
"53",2014,2014-01-01,"Elgeyo Marakwet",0.3525,0,0,0,0,149,0,0,0,0
"54",2014,2014-08-01,"Elgeyo Marakwet",0.7736,0,0,0,0,327,0,0,0,0
"55",2014,2014-07-01,"Elgeyo Marakwet",1.0007,0,0,0,0,423,0,0,0,0
"56",2014,2014-04-01,"Elgeyo Marakwet",0.2839,0,0,0,0,120,0,0,0,0
"57",2014,2014-03-01,"Elgeyo Marakwet",0.4495,0,0,0,0,190,0,0,0,0
"58",2014,2014-12-01,"Elgeyo Marakwet",0.7571,0,0,0,0,320,0,0,0,0
"59",2014,2014-06-01,"Elgeyo Marakwet",0.8541,0,0,0,0,361,0,0,0,0
"60",2014,2014-10-01,"Elgeyo Marakwet",0.899,0,0,0,0,380,0,0,0,0
"61",2014,2014-11-01,"Embu",0.0329,0,0,0,0,19,0,0,0,0
"62",2014,2014-12-01,"Embu",0.1869,0,0,0,0,108,0,0,0,0
"63",2014,2014-09-01,"Embu",0.064,0,0,0,0,37,0,0,0,0
"64",2014,2014-02-01,"Embu",0.7839,0,0,0,0,453,0,0,0,0
"65",2014,2014-05-01,"Embu",0.2855,0,0,0,0,165,0,0,0,0
"66",2014,2014-06-01,"Embu",0.0467,0,0,0,0,27,0,0,0,0
"67",2014,2014-03-01,"Embu",0.0692,0,0,0,0,40,0,0,0,0
"68",2014,2014-07-01,"Embu",0.064,0,0,0,0,37,0,0,0,0
"69",2014,2014-04-01,"Embu",0.064,0,0,0,0,37,0,0,0,0
"70",2014,2014-01-01,"Embu",0.0796,0,0,0,0,46,0,0,0,0
"71",2014,2014-08-01,"Embu",0.225,0,0,0,0,130,0,0,0,0
"72",2014,2014-10-01,"Embu",0.1021,0,0,0,0,59,0,0,0,0
"73",2014,2014-03-01,"Garissa",0.0511,0,0,0,0,38,0,0,0,0
"74",2014,2014-04-01,"Garissa",0.0497,0,0,0,0,37,0,0,0,0
"75",2014,2014-07-01,"Garissa",0.1747,0,0,0,0,130,0,0,0,0
"76",2014,2014-05-01,"Garissa",0.082,0,0,0,0,61,0,0,0,0
"77",2014,2014-08-01,"Garissa",0.086,0,0,0,0,64,0,0,0,0
"78",2014,2014-12-01,"Garissa",0.1102,0,0,0,0,82,0,0,0,0
"79",2014,2014-02-01,"Garissa",0.0766,0,0,0,0,57,0,0,0,0
"80",2014,2014-06-01,"Garissa",0.1815,0,0,0,0,135,0,0,0,0
"81",2014,2014-10-01,"Garissa",0.1008,0,0,0,0,75,0,0,0,0
"82",2014,2014-01-01,"Garissa",0.0632,0,0,0,0,47,0,0,0,0
"83",2014,2014-11-01,"Garissa",0.1304,0,0,0,0,97,0,0,0,0
"84",2014,2014-09-01,"Garissa",0.1089,0,0,0,0,81,0,0,0,0
"85",2014,2014-04-01,"Homa Bay",0.0146,0,NA,0,0,15,0,0,0,0
"86",2014,2014-05-01,"Homa Bay",0.0905,0,NA,0,0,93,0,0,0,0
"87",2014,2014-07-01,"Homa Bay",0.0302,0,NA,0,0,31,0,0,0,0
"88",2014,2014-11-01,"Homa Bay",0.1927,0,NA,0,0,198,0,0,0,0
"89",2014,2014-02-01,"Homa Bay",0.0146,0,NA,0,0,15,0,0,0,0
"90",2014,2014-12-01,"Homa Bay",0.1168,0,NA,0,0,120,0,0,0,0
