periodname,county,brucellosis,rift_valley_fever,anthrax,brucella
April 2022,Embu County,66,,,471
April 2022,Nandi County,434,,,1118
April 2022,Turkana County,183,34,,573
April 2022,Laikipia County,9,,,154
April 2022,Elgeyo Marakwet County,357,,,962
April 2022,Siaya County,55,,,218
April 2022,Nakuru County,332,,,1854
April 2022,Kisii County,501,,,2221
April 2022,Muranga County,31,,1,56
April 2022,Kisumu County,88,,170,670
April 2022,Kiambu County,59,,,172
April 2022,Taita Taveta County,7,,,51
April 2022,Tana River County,20,,1,176
April 2022,Kilifi County,22,,,63
April 2022,Machakos County,31,,1,207
April 2022,Narok County,365,,,1510
April 2022,Nyandarua County,35,,,418
April 2022,Kericho County,374,,189,1541
April 2022,West Pokot County,445,,,1998
April 2022,Kakamega County,114,,,662
April 2022,Bungoma County,672,,,3096
April 2022,Bomet County,87,,7,447
April 2022,Samburu County,30,,,263
April 2022,Wajir County,37,,8,266
April 2022,Meru County,167,,,230
April 2022,Uasin Gishu County,290,,,1400
April 2022,Vihiga County,42,,,244
April 2022,Mombasa County,1,,,18
April 2022,Tharaka Nithi County,86,,,323
April 2022,Makueni County,69,,21,269
April 2022,Mandera County,71,,,797
April 2022,Homa Bay County,199,,5,784
April 2022,Kwale County,13,,,
April 2022,Nyeri County,7,,,125
April 2022,Garissa County,70,,,731
April 2022,Kirinyaga County,7,,,91
April 2022,Busia County,76,,,328
April 2022,Kajiado County,152,,,707
April 2022,Nairobi County,290,,,705
April 2022,Migori County,324,,57,962
April 2022,Nyamira County,113,,,400
April 2022,Baringo County,263,,,867
April 2022,Kitui County,121,,,420
April 2022,Isiolo County,155,,,611
April 2022,Marsabit County,98,,,321
April 2022,Trans Nzoia County,607,,,1823
April 2023,Kirinyaga County,13,,,107
April 2023,Makueni County,73,,,135
April 2023,Kisii County,623,,5,3973
April 2023,Taita Taveta County,10,,,66
April 2023,Kisumu County,150,,2,633
April 2023,Kwale County,9,,,5
April 2023,Homa Bay County,222,,,623
April 2023,Embu County,36,,,497
April 2023,Wajir County,24,,,321
April 2023,Elgeyo Marakwet County,450,,,551
April 2023,Nandi County,406,,,1099
April 2023,Turkana County,111,,,718
April 2023,Muranga County,8,,1,41
April 2023,Kericho County,670,,,2536
April 2023,Bungoma County,656,,,2382
April 2023,Bomet County,63,,6,634
April 2023,Laikipia County,33,,,389
April 2023,Busia County,100,,,569
April 2023,Migori County,522,,,941
April 2023,Narok County,733,,2,1598
April 2023,Tana River County,19,,2,58
April 2023,Isiolo County,60,,,253
April 2023,Mandera County,36,,,535
April 2023,Nairobi County,103,124,22,863
April 2023,West Pokot County,302,,,1383
April 2023,Nyandarua County,44,,,300
April 2023,Nyamira County,230,,105,600
April 2023,Kajiado County,203,1,3,642
April 2023,Kakamega County,187,9,1,882
April 2023,Machakos County,19,,1,209
April 2023,Tharaka Nithi County,42,,,427
April 2023,Garissa County,62,,,547
April 2023,Kiambu County,12,,,127
April 2023,Nyeri County,16,,,91
April 2023,Samburu County,24,,,327
April 2023,Siaya County,84,,3,500
April 2023,Kilifi County,,,22,10
April 2023,Lamu County,1,,5,1
April 2023,Uasin Gishu County,610,,65,1429
April 2023,Nakuru County,326,,2,2108
April 2023,Vihiga County,30,,1,157
April 2023,Mombasa County,1,,67,25
April 2023,Baringo County,353,,,901
April 2023,Trans Nzoia County,322,,,1954
April 2023,Kitui County,87,,,403
April 2023,Marsabit County,119,,,367
April 2023,Meru County,148,,146,133
April 2024,Tharaka Nithi County,34,,1,370
April 2024,Nairobi County,76,,97,755
April 2024,Mandera County,67,,,227
April 2024,Kakamega County,117,,5,578
April 2024,West Pokot County,397,,,1411
April 2024,Kajiado County,81,,,474
April 2024,Mombasa County,1,,39,12
April 2024,Narok County,613,,,1277
April 2024,Wajir County,56,,,545
April 2024,Kwale County,23,,17,15
April 2024,Garissa County,86,,,778
April 2024,Homa Bay County,106,,340,664
April 2024,Nyeri County,,,,131
April 2024,Tana River County,21,,,99
April 2024,Lamu County,1,,,1
April 2024,Muranga County,51,,,56
April 2024,Kericho County,396,,,1379
April 2024,Embu County,33,,,351
April 2024,Laikipia County,30,,,160
April 2024,Turkana County,161,,,685
April 2024,Nyandarua County,9,,,170
April 2024,Elgeyo Marakwet County,357,,,1084
April 2024,Bungoma County,557,,,2258
April 2024,Bomet County,155,,,498
April 2024,Kisumu County,112,,131,429
April 2024,Taita Taveta County,5,,,54
April 2024,Nakuru County,281,,,2261
April 2024,Kilifi County,9,,75,22
April 2024,Nandi County,395,,,1238
April 2024,Kisii County,489,,,3001
April 2024,Machakos County,39,,,200
April 2024,Nyamira County,171,,,508
April 2024,Kiambu County,20,,,58
April 2024,Vihiga County,96,,4,142
April 2024,Baringo County,299,,,831
April 2024,Kitui County,91,,,308
April 2024,Uasin Gishu County,428,,1,1079
April 2024,Makueni County,31,,,74
April 2024,Migori County,287,,,1375
April 2024,Samburu County,25,,,99
April 2024,Kirinyaga County,6,,,65
April 2024,Siaya County,43,,5,330
April 2024,Meru County,34,,1,176
April 2024,Busia County,44,,,232
April 2024,Isiolo County,26,,,131
April 2024,Marsabit County,156,,3,506
April 2024,Trans Nzoia County,267,,1,1143
August 2022,Garissa County,65,,,557
August 2022,Bungoma County,759,,,3136
August 2022,Mombasa County,4,,1,34
August 2022,Meru County,76,,,123
August 2022,Wajir County,45,,,378
August 2022,West Pokot County,357,,,1775
August 2022,Kakamega County,183,,5,649
August 2022,Nairobi County,183,,,1165
August 2022,Isiolo County,98,,,272
August 2022,Kajiado County,84,,,537
August 2022,Bomet County,62,,2,240
August 2022,Samburu County,40,,,242
August 2022,Kitui County,53,,,423
August 2022,Trans Nzoia County,302,,,1392
August 2022,Baringo County,371,,,966
August 2022,Nyandarua County,150,,,504
August 2022,Makueni County,73,,,205
August 2022,Tana River County,26,,4,108
August 2022,Narok County,328,,,1768
August 2022,Uasin Gishu County,353,,,1321
August 2022,Mandera County,89,,,374
August 2022,Kisii County,538,,,2656
August 2022,Taita Taveta County,8,,,63
August 2022,Lamu County,1,,,1
August 2022,Homa Bay County,185,,,662
August 2022,Kisumu County,92,,1,497
August 2022,Kilifi County,7,,14,12
August 2022,Siaya County,99,,,395
August 2022,Nakuru County,643,,1,1993
August 2022,Turkana County,135,,,859
August 2022,Nandi County,520,,97,877
August 2022,Elgeyo Marakwet County,417,,,1208
August 2022,Kirinyaga County,2,,,110
August 2022,Embu County,61,,,523
August 2022,Marsabit County,182,,,377
August 2022,Laikipia County,55,,,152
August 2022,Kiambu County,56,,,99
August 2022,Kericho County,570,,,2106
August 2022,Busia County,108,,,281
August 2022,Migori County,477,,70,1140
August 2022,Vihiga County,68,,,265
August 2022,Muranga County,9,,,95
August 2022,Nyamira County,112,,,724
August 2022,Kwale County,4,,,8
August 2022,Tharaka Nithi County,122,,1,335
August 2022,Machakos County,60,,,159
August 2022,Nyeri County,1,,,135
August 2023,Laikipia County,28,,2,476
August 2023,Nandi County,519,,,1223
August 2023,Turkana County,225,,,1049
August 2023,Elgeyo Marakwet County,671,,,1766
August 2023,Muranga County,9,,,28
August 2023,Nakuru County,460,,1,2555
August 2023,Nyandarua County,35,,,362
August 2023,Kericho County,608,,,2868
August 2023,Nyamira County,202,,,1017
August 2023,Siaya County,93,,,405
August 2023,Trans Nzoia County,337,,,1683
August 2023,Embu County,85,,,458
August 2023,Mandera County,43,,,622
August 2023,Kakamega County,252,,5,838
August 2023,West Pokot County,486,,,2225
August 2023,Narok County,940,,,2351
August 2023,Taita Taveta County,17,,,112
August 2023,Kirinyaga County,6,,,79
August 2023,Nairobi County,117,3,59,750
August 2023,Makueni County,74,,,41
August 2023,Garissa County,87,,,553
August 2023,Kilifi County,24,,,45
August 2023,Tana River County,39,,5,112
August 2023,Lamu County,2,,,
August 2023,Kisii County,697,,1,3577
August 2023,Vihiga County,132,,,263
August 2023,Homa Bay County,302,,,584
August 2023,Baringo County,417,,,1022
August 2023,Uasin Gishu County,380,,2,1878
August 2023,Wajir County,57,,,686
August 2023,Samburu County,66,,,368
August 2023,Mombasa County,2,,4,17
August 2023,Bungoma County,629,,,3170
August 2023,Meru County,45,,1,170
August 2023,Kitui County,165,,,486
August 2023,Bomet County,158,,,784
August 2023,Marsabit County,166,,,590
August 2023,Kajiado County,120,,1022,751
August 2023,Isiolo County,76,,,270
August 2023,Busia County,104,,,554
August 2023,Kisumu County,117,,,661
August 2023,Migori County,386,,4,1491
August 2023,Kiambu County,18,,,126
August 2023,Nyeri County,12,,2,223
August 2023,Tharaka Nithi County,59,,28,465
August 2023,Machakos County,47,,,294
August 2023,Kwale County,16,,,13
August 2024,Marsabit County,140,,,535
