county,hum_pop,y
Turkana,68654,2014
Marsabit,56287,2014
Mandera,278072,2014
Wajir,133781,2014
West Pokot,44103,2014
Samburu,22105,2014
Isiolo,44091,2014
Baringo,57255,2014
Elgeyo Marakwet,19125,2014
Trans Nzoia,171582,2014
Bungoma,205675,2014
Garissa,278569,2014
Uasin Gishu,320551,2014
Kakamega,278426,2014
Laikipia,63876,2014
Busia,132622,2014
Meru,259516,2014
Nandi,76981,2014
Siaya,169919,2014
Nakuru,679557,2014
Vihiga,149574,2014
Nyandarua,104943,2014
Tharaka Nithi,40173,2014
Kisumu,460577,2014
Kericho,86428,2014
Nyeri,196375,2014
Tana River,39965,2014
Kitui,114483,2014
Homa Bay,234089,2014
Embu,89176,2014
Bomet,62682,2014
Kirinyaga,138811,2014
Nyamira,155924,2014
Narok,55409,2014
Kisii,357372,2014
Murang'a,251044,2014
Migori,210291,2014
Kiambu,999717,2014
Machakos,266094,2014
Kajiado,266928,2014
Nairobi,3534711,2014
Makueni,101313,2014
Lamu,24714,2014
Kilifi,424162,2014
Taita Taveta,72955,2014
Kwale,149605,2014
Mombasa,802492,2014
Turkana,54880,2015
Marsabit,46794,2015
Mandera,253755,2015
Wajir,120670,2015
West Pokot,28954,2015
Samburu,19932,2015
Isiolo,40911,2015
Baringo,43215,2015
Elgeyo Marakwet,15327,2015
Trans Nzoia,157419,2015
Bungoma,182354,2015
Garissa,288900,2015
Uasin Gishu,315561,2015
Kakamega,240508,2015
Laikipia,53820,2015
Busia,113681,2015
Meru,234991,2015
Nandi,67251,2015
Siaya,123161,2015
Vihiga,127743,2015
Nakuru,666718,2015
Nyandarua,92310,2015
Tharaka Nithi,32012,2015
Kericho,78449,2015
Kisumu,425059,2015
Nyeri,161752,2015
Tana River,28309,2015
Kitui,70675,2015
Homa Bay,181824,2015
Embu,78534,2015
Bomet,58630,2015
Kirinyaga,125395,2015
Nyamira,126743,2015
Narok,47215,2015
Kisii,308474,2015
Murang'a,198303,2015
Migori,173561,2015
Kiambu,958981,2015
Machakos,239214,2015
Kajiado,256008,2015
Nairobi,3661502,2015
Makueni,67780,2015
Lamu,24635,2015
Kilifi,370934,2015
Taita Taveta,57122,2015
Kwale,117419,2015
Mombasa,807826,2015
Turkana,44542,2016
Marsabit,45811,2016
Mandera,296177,2016
Wajir,130226,2016
West Pokot,25564,2016
Samburu,11258,2016
Isiolo,33204,2016
Baringo,38745,2016
Elgeyo Marakwet,10908,2016
Trans Nzoia,154176,2016
Bungoma,188650,2016
Garissa,337712,2016
Uasin Gishu,309412,2016
Laikipia,63003,2016
Busia,100981,2016
Kakamega,185335,2016
Meru,224733,2016
Nandi,59244,2016
Siaya,86863,2016
Nakuru,663495,2016
Vihiga,94732,2016
Nyandarua,56732,2016
Tharaka Nithi,18052,2016
Kisumu,377447,2016
Kericho,90807,2016
Nyeri,96389,2016
Tana River,29607,2016
Kitui,48396,2016
Homa Bay,139221,2016
Embu,55248,2016
Bomet,41273,2016
Kirinyaga,96346,2016
Nyamira,82606,2016
Narok,42809,2016
Kisii,206482,2016
Murang'a,109383,2016
Migori,133548,2016
Kiambu,797984,2016
Machakos,189410,2016
Kajiado,266941,2016
Nairobi,3878243,2016
Makueni,42055,2016
Lamu,41829,2016
Taita Taveta,38637,2016
Kilifi,387955,2016
Kwale,127641,2016
Mombasa,978646,2016
Turkana,42959,2017
Marsabit,46344,2017
Mandera,320109,2017
Wajir,139290,2017
West Pokot,25448,2017
Samburu,11411,2017
Isiolo,33382,2017
Baringo,39211,2017
Elgeyo Marakwet,10318,2017
Trans Nzoia,151013,2017
Bungoma,160251,2017
Garissa,365501,2017
Uasin Gishu,316221,2017
Kakamega,201925,2017
Laikipia,44296,2017
Busia,99973,2017
Meru,219549,2017
Nandi,59941,2017
Siaya,81218,2017
Nakuru,671841,2017
Vihiga,95719,2017
