periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,rabies
201401,Jan-14,201401,,vvOK1BxTbet,Baringo County,KE_County_30,,
201401,Jan-14,201401,,HMNARUV2CW4,Bomet County,KE_County_36,,
201401,Jan-14,201401,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201401,Jan-14,201401,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201401,Jan-14,201401,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201401,Jan-14,201401,,PFu8alU2KWG,Embu County,KE_County_14,,
201401,Jan-14,201401,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201401,Jan-14,201401,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201401,Jan-14,201401,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201401,Jan-14,201401,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201401,Jan-14,201401,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201401,Jan-14,201401,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201401,Jan-14,201401,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201401,Jan-14,201401,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201401,Jan-14,201401,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201401,Jan-14,201401,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201401,Jan-14,201401,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201401,Jan-14,201401,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201401,Jan-14,201401,,N7YETT3A9r1,Kwale County,KE_County_2,,
201401,Jan-14,201401,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201401,Jan-14,201401,,NjWSbQTwys4,Lamu County,KE_County_5,,
201401,Jan-14,201401,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201401,Jan-14,201401,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201401,Jan-14,201401,,R6f9znhg37c,Mandera County,KE_County_9,,
201401,Jan-14,201401,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201401,Jan-14,201401,,Y52XNJ50hYb,Meru County,KE_County_12,,
201401,Jan-14,201401,,fVra3Pwta0Q,Migori County,KE_County_44,,
201401,Jan-14,201401,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201401,Jan-14,201401,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201401,Jan-14,201401,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201401,Jan-14,201401,,ob6SxuRcqU4,Nakuru County,KE_County_32,,
201401,Jan-14,201401,,t0J75eHKxz5,Nandi County,KE_County_29,,
201401,Jan-14,201401,,kqJ83J2D72s,Narok County,KE_County_33,,
201401,Jan-14,201401,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201401,Jan-14,201401,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201401,Jan-14,201401,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201401,Jan-14,201401,,o36zCRjSd4G,Samburu County,KE_County_25,,
201401,Jan-14,201401,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201401,Jan-14,201401,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201401,Jan-14,201401,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201401,Jan-14,201401,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201401,Jan-14,201401,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201401,Jan-14,201401,,kphDeKClFch,Turkana County,KE_County_23,,
