"","date","human_incidence","catt_incidence","cam_incidence","goat_incidence","shp_incidence","hum_cases","catt_cases","cam_cases","goat_cases","shp_cases"
"1",2014-01-01,0.1852,NA,NA,NA,NA,7778,NA,NA,NA,NA
"2",2014-02-01,0.19,NA,NA,NA,NA,7731,NA,NA,NA,NA
"3",2014-03-01,0.2179,NA,NA,NA,NA,8995,NA,NA,NA,NA
"4",2014-04-01,0.1915,NA,NA,NA,NA,8047,NA,NA,NA,NA
"5",2014-05-01,0.2052,NA,NA,NA,NA,8495,NA,NA,NA,NA
"6",2014-06-01,0.1968,NA,NA,NA,NA,8161,NA,NA,NA,NA
"7",2014-07-01,0.2254,NA,NA,NA,NA,9196,NA,NA,NA,NA
"8",2014-08-01,0.2424,NA,NA,NA,NA,9719,NA,NA,NA,NA
"9",2014-09-01,0.1879,NA,NA,NA,NA,7895,NA,NA,NA,NA
"10",2014-10-01,0.2169,0.0654,NA,NA,NA,9218,2,NA,NA,NA
"11",2014-11-01,0.1599,0.0319,NA,NA,NA,6933,1,NA,NA,NA
"12",2014-12-01,0.1784,NA,NA,NA,NA,7544,NA,NA,NA,NA
"13",2015-01-01,0.3959,NA,NA,NA,NA,17168,NA,NA,NA,NA
"14",2015-02-01,0.5354,0.4296,NA,NA,NA,22497,13,NA,NA,NA
"15",2015-03-01,0.6144,0.423,0.1078,0.4177,NA,26643,13,1,23,NA
"16",2015-04-01,0.5553,NA,NA,NA,NA,24588,NA,NA,NA,NA
"17",2015-05-01,0.5891,NA,NA,NA,NA,25544,NA,NA,NA,NA
"18",2015-06-01,0.7107,NA,NA,NA,NA,30511,NA,NA,NA,NA
"19",2015-07-01,0.7801,NA,NA,NA,NA,34544,NA,NA,NA,NA
"20",2015-08-01,0.7093,NA,NA,0.1249,NA,31406,NA,NA,7,NA
"21",2015-09-01,0.6485,NA,NA,NA,NA,28715,NA,NA,NA,NA
"22",2015-10-01,0.71,NA,NA,NA,NA,31440,NA,NA,NA,NA
"23",2015-11-01,0.6159,NA,NA,NA,NA,27273,NA,NA,NA,NA
"24",2015-12-01,0.6942,NA,NA,0.0181,0.026,30193,NA,NA,1,1
"25",2016-01-01,0.8202,NA,NA,NA,NA,36970,NA,NA,NA,NA
"26",2016-02-01,0.9828,NA,NA,NA,NA,44303,NA,NA,NA,NA
"27",2016-03-01,0.9446,NA,NA,NA,NA,42578,NA,NA,NA,NA
"28",2016-04-01,0.8337,NA,NA,NA,NA,36908,NA,NA,NA,NA
"29",2016-05-01,0.924,NA,NA,NA,NA,41651,NA,NA,NA,NA
"30",2016-06-01,1.0547,NA,NA,NA,NA,47540,NA,NA,NA,NA
"31",2016-07-01,1.1467,NA,NA,NA,NA,51688,NA,NA,NA,NA
"32",2016-08-01,1.1723,NA,NA,0.0714,NA,52843,NA,NA,4,NA
"33",2016-09-01,1.2148,NA,NA,NA,NA,54757,NA,NA,NA,NA
"34",2016-10-01,1.1749,NA,NA,NA,NA,52960,NA,NA,NA,NA
"35",2016-11-01,0.9976,NA,NA,NA,NA,44970,NA,NA,NA,NA
"36",2016-12-01,0.7169,NA,NA,NA,NA,32314,NA,NA,NA,NA
"37",2017-01-01,0.9534,0.0319,NA,NA,NA,43620,1,NA,NA,NA
"38",2017-02-01,1.0018,NA,NA,NA,NA,45971,NA,NA,NA,NA
"39",2017-03-01,1.1693,NA,NA,NA,NA,53497,NA,NA,NA,NA
"40",2017-04-01,1.0287,NA,NA,NA,NA,47065,NA,NA,NA,NA
"41",2017-05-01,1.0427,NA,NA,NA,NA,47849,NA,NA,NA,NA
