year,date,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,catt_pop,goat_pop,sheep_pop,cam_pop,pop,hum_incidence,catt_incidence,cam_incidence,goat_incidence,shp_incidence
2014,2014-01-01,7778,0,0,0,0,15774818,28011800,19307445,4640085,43496899,178.817345116947,0,0,0,0
2014,2014-02-01,7731,0,0,0,0,15774818,28011800,19307445,4640085,43496899,177.736808318221,0,0,0,0
2014,2014-03-01,8995,0,0,0,0,15774818,28011800,19307445,4640085,43496899,206.796351160574,0,0,0,0
2014,2014-04-01,8047,0,0,0,0,15774818,28011800,19307445,4640085,43496899,185.001694028809,0,0,0,0
2014,2014-05-01,8495,0,0,0,0,15774818,28011800,19307445,4640085,43496899,195.301278833693,0,0,0,0
2014,2014-06-01,8161,0,0,0,0,15774818,28011800,19307445,4640085,43496899,187.622570519337,0,0,0,0
2014,2014-07-01,9196,0,0,0,0,15774818,28011800,19307445,4640085,43496899,211.417370235979,0,0,0,0
2014,2014-08-01,9719,0,0,0,0,15774818,28011800,19307445,4640085,43496899,223.441215889896,0,0,0,0
2014,2014-09-01,7895,0,0,0,0,15774818,28011800,19307445,4640085,43496899,181.507192041437,0,0,0,0
2014,2014-10-01,9218,2,0,0,0,15774818,28011800,19307445,4640085,43496899,211.923153418362,0.126784347052372,0,0,0
2014,2014-11-01,6933,1,0,0,0,15774818,28011800,19307445,4640085,43496899,159.39067288452,0.0633921735261859,0,0,0
2014,2014-12-01,7544,0,0,0,0,15774818,28011800,19307445,4640085,43496899,173.437651267967,0,0,0,0
2015,2015-01-01,17168,0,0,0,0,15774818,28011800,19307445,4640085,44279007,387.723238689612,0,0,0,0
2015,2015-02-01,22497,13,0,0,0,15774818,28011800,19307445,4640085,44279007,508.073724417533,0.824098255840416,0,0,0
2015,2015-03-01,26643,13,1,23,0,15774818,28011800,19307445,4640085,44279007,601.707260508349,0.824098255840416,0.21551329339872,0.821082543785119,0
2015,2015-04-01,24588,0,0,0,0,15774818,28011800,19307445,4640085,44279007,555.297005644232,0,0,0,0
2015,2015-05-01,25544,0,0,0,0,15774818,28011800,19307445,4640085,44279007,576.887372383938,0,0,0,0
2015,2015-06-01,30511,0,0,0,0,15774818,28011800,19307445,4640085,44279007,689.062426354774,0,0,0,0
2015,2015-07-01,34544,0,0,0,0,15774818,28011800,19307445,4640085,44279007,780.143963029704,0,0,0,0
2015,2015-08-01,31406,0,0,7,0,15774818,28011800,19307445,4640085,44279007,709.275165091214,0,0,0.249894687238949,0
2015,2015-09-01,28715,0,0,0,0,15774818,28011800,19307445,4640085,44279007,648.50144448813,0,0,0,0
2015,2015-10-01,31440,0,0,0,0,15774818,28011800,19307445,4640085,44279007,710.043023322542,0,0,0,0
2015,2015-11-01,27273,0,0,0,0,15774818,28011800,19307445,4640085,44279007,615.935221853552,0,0,0,0
2015,2015-12-01,30193,0,0,1,1,15774818,28011800,19307445,4640085,44279007,681.88069348529,0,0,0.0356992410341356,0.0517934920959247
2016,2016-01-01,36970,0,0,0,0,15774818,28011800,19307445,4640085,45076470,820.161827223827,0,0,0,0
2016,2016-02-01,44303,0,0,0,0,15774818,28011800,19307445,4640085,45076470,982.840936745934,0,0,0,0
2016,2016-03-01,42578,0,0,0,0,15774818,28011800,19307445,4640085,45076470,944.572634015042,0,0,0,0
2016,2016-04-01,36908,0,0,0,0,15774818,28011800,19307445,4640085,45076470,818.786386777847,0,0,0,0
2016,2016-05-01,41651,0,0,0,0,15774818,28011800,19307445,4640085,45076470,924.00758089531,0,0,0,0
2016,2016-06-01,47540,0,0,0,0,15774818,28011800,19307445,4640085,45076470,1054.65223874008,0,0,0,0
2016,2016-07-01,51688,0,0,0,0,15774818,28011800,19307445,4640085,45076470,1146.6736414808,0,0,0,0
2016,2016-08-01,52843,0,0,8,0,15774818,28011800,19307445,4640085,45076470,1172.29676591801,0,0,0.285593928273085,0
2016,2016-09-01,54757,0,0,0,0,15774818,28011800,19307445,4640085,45076470,1214.7579435568,0,0,0,0
2016,2016-10-01,52960,0,0,0,0,15774818,28011800,19307445,4640085,45076470,1174.89235514671,0,0,0,0
2016,2016-11-01,44970,0,0,0,0,15774818,28011800,19307445,4640085,45076470,997.638013801879,0,0,0,0
2016,2016-12-01,32314,0,0,0,0,15774818,28011800,19307445,4640085,45076470,716.8706866354,0,0,0,0
2017,2017-01-01,43620,1,0,0,0,15774818,28011800,19307445,4640085,45889619,950.541777215452,0.0633921735261859,0,0,0
2017,2017-02-01,45971,0,0,0,0,15774818,28011800,19307445,4640085,45889619,1001.77340761971,0,0,0,0
2017,2017-03-01,53497,0,0,0,0,15774818,28011800,19307445,4640085,45889619,1165.77564089168,0,0,0,0
2017,2017-04-01,47065,0,0,0,0,15774818,28011800,19307445,4640085,45889619,1025.61322202305,0,0,0,0
2017,2017-05-01,47849,0,0,0,0,15774818,28011800,19307445,4640085,45889619,1042.69769596475,0,0,0,0
2017,2017-06-01,40614,0,0,0,0,15774818,28011800,19307445,4640085,45889619,885.036766158377,0,0,0,0
2017,2017-07-01,38198,0,0,0,0,15774818,28011800,19307445,4640085,45889619,832.388693399263,0,0,0,0
2017,2017-08-01,35688,0,0,0,0,15774818,28011800,19307445,4640085,45889619,777.692227080813,0,0,0,0
2017,2017-09-01,35189,0,0,0,0,15774818,28011800,19307445,4640085,45889619,766.818308079655,0,0,0,0
