periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Brucellosis,MOH 705A Rev 2020_ Rift valley fever,MOH 705A Rev 2020_ Suspected anthrax,MOH 706_Brucella
202101,Jan-21,202101,,vvOK1BxTbet,Baringo County,KE_County_30,,312,,,857
202101,Jan-21,202101,,HMNARUV2CW4,Bomet County,KE_County_36,,97,,,469
202101,Jan-21,202101,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,852,,,2345
202101,Jan-21,202101,,Tvf1zgVZ0K4,Busia County,KE_County_40,,78,1,,956
202101,Jan-21,202101,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,337,,,1224
202101,Jan-21,202101,,PFu8alU2KWG,Embu County,KE_County_14,,55,,,560
202101,Jan-21,202101,,uyOrcHZBpW0,Garissa County,KE_County_7,,81,,,631
202101,Jan-21,202101,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,74,,,751
202101,Jan-21,202101,,bzOfj0iwfDH,Isiolo County,KE_County_11,,159,,,420
202101,Jan-21,202101,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,134,,2,891
202101,Jan-21,202101,,BjC1xL40gHo,Kakamega County,KE_County_37,,158,,,629
202101,Jan-21,202101,,ihZsJ8alvtb,Kericho County,KE_County_35,,103,,,676
202101,Jan-21,202101,,qKzosKQPl6G,Kiambu County,KE_County_22,,76,,5,477
202101,Jan-21,202101,,nrI2khZx3d0,Kilifi County,KE_County_3,,17,,,78
202101,Jan-21,202101,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,5,,,216
202101,Jan-21,202101,,sPkRcDvhGWA,Kisii County,KE_County_45,,468,,,2577
202101,Jan-21,202101,,tAbBVBbueqD,Kisumu County,KE_County_42,,77,,2,489
202101,Jan-21,202101,,j8o6iO4Njsi,Kitui County,KE_County_15,,208,,,786
202101,Jan-21,202101,,N7YETT3A9r1,Kwale County,KE_County_2,,,,,
202101,Jan-21,202101,,xuFdFy6t9AH,Laikipia County,KE_County_31,,204,1,,237
202101,Jan-21,202101,,NjWSbQTwys4,Lamu County,KE_County_5,,1,,,15
202101,Jan-21,202101,,yhCUgGcCcOo,Machakos County,KE_County_16,,178,,,428
202101,Jan-21,202101,,BoDytkJQ4Qi,Makueni County,KE_County_17,,22,,,399
202101,Jan-21,202101,,R6f9znhg37c,Mandera County,KE_County_9,,35,,,281
202101,Jan-21,202101,,Eey8fT4Im3y,Marsabit County,KE_County_10,,199,,,566
202101,Jan-21,202101,,Y52XNJ50hYb,Meru County,KE_County_12,,75,,,568
202101,Jan-21,202101,,fVra3Pwta0Q,Migori County,KE_County_44,,293,,,1465
202101,Jan-21,202101,,wsBsC6gjHvn,Mombasa County,KE_County_1,,5,,,27
202101,Jan-21,202101,,ahwTMNAJvrL,Muranga County,KE_County_21,,15,,229,117
202101,Jan-21,202101,,jkG3zaihdSs,Nairobi County,KE_County_47,,230,,18,797
202101,Jan-21,202101,,ob6SxuRcqU4,Nakuru County,KE_County_32,,610,,,2829
202101,Jan-21,202101,,t0J75eHKxz5,Nandi County,KE_County_29,,430,,,805
202101,Jan-21,202101,,kqJ83J2D72s,Narok County,KE_County_33,,497,,24,1975
202101,Jan-21,202101,,uepLTG8wGWJ,Nyamira County,KE_County_46,,150,,,650
202101,Jan-21,202101,,mYZacFNIB3h,Nyandarua County,KE_County_18,,126,,,526
202101,Jan-21,202101,,ptWVfaCIdVx,Nyeri County,KE_County_19,,6,,,82
202101,Jan-21,202101,,o36zCRjSd4G,Samburu County,KE_County_25,,86,,,310
202101,Jan-21,202101,,u4t9H8XyU9P,Siaya County,KE_County_41,,65,,46,192
202101,Jan-21,202101,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,24,,,85
202101,Jan-21,202101,,JsH2bnvNt2d,Tana River County,KE_County_4,,32,,1,151
202101,Jan-21,202101,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,176,,,813
202101,Jan-21,202101,,mThvosEflAU,Trans Nzoia County,KE_County_26,,341,,,1583
202101,Jan-21,202101,,kphDeKClFch,Turkana County,KE_County_23,,250,,,960
202101,Jan-21,202101,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,242,,,1468
