variable,estimate,std.error,statistic,p.value,conf.low,conf.high,lag,r_squared,AIC,adj_r_squared,significance
(Intercept),5.559,12.023,0.462,0.645,-14.22,25.337,0,0.00220658298297181,1036.06907037367,-0.007,Not Significant
Total animal incidence,5.061,10.503,0.482,0.631,-12.217,22.34,0,0.00220658298297181,1036.06907037367,-0.007,Not Significant
(Intercept),6.373,11.984,0.532,0.596,-13.34,26.086,1,0.027344444530402,1024.72979840073,0.018,Not Significant
Total animal incidence,-17.817,10.42,-1.71,0.09,-34.958,-0.676,1,0.027344444530402,1024.72979840073,0.018,Significant
(Intercept),5.561,12.236,0.454,0.65,-14.568,25.69,2,0.00396728340599021,1018.57287347983,-0.006,Not Significant
Total animal incidence,7.067,11.034,0.641,0.523,-11.083,25.218,2,0.00396728340599021,1018.57287347983,-0.006,Not Significant
(Intercept),5.666,12.275,0.462,0.645,-14.526,25.858,3,0.0165250312058444,1008.55662811186,0.007,Not Significant
Total animal incidence,14.485,11.064,1.309,0.193,-3.716,32.686,3,0.0165250312058444,1008.55662811186,0.007,Not Significant
(Intercept),6.087,12.461,0.489,0.626,-14.411,26.585,4,0.00679838536647873,1000.92423427366,-0.003,Not Significant
Total animal incidence,-9.45,11.366,-0.831,0.408,-28.146,9.246,4,0.00679838536647873,1000.92423427366,-0.003,Not Significant
(Intercept),5.823,12.615,0.462,0.645,-14.928,26.574,5,0.0014487459411268,992.796331074524,-0.009,Not Significant
Total animal incidence,4.377,11.492,0.381,0.704,-14.526,23.281,5,0.0014487459411268,992.796331074524,-0.009,Not Significant
(Intercept),5.913,12.669,0.467,0.642,-14.927,26.754,6,0.0121932833536598,983.004221157399,0.002,Not Significant
Total animal incidence,-12.744,11.528,-1.105,0.272,-31.707,6.22,6,0.0121932833536598,983.004221157399,0.002,Not Significant
