county,lag,Model type,variable,estimate,std.error,statistic,p.value,conf.low,conf.high,r_squared,AIC,adj_r_squared,significance
Baringo,0,Combined,(Intercept),17.641,46.331,0.381,0.704,-58.574,93.857,0.0199961093601949,1324.83937687941,0.011,Not Significant
Baringo,0,Combined,Total animal incidence,-6.719,4.591,-1.464,0.146,-14.271,0.832,0.0199961093601949,1324.83937687941,0.011,Not Significant
Baringo,1,Combined,(Intercept),18.533,46.875,0.395,0.693,-58.576,95.643,0.0153460781414294,1313.97198088897,0.006,Not Significant
Baringo,1,Combined,Total animal incidence,-5.885,4.623,-1.273,0.206,-13.489,1.719,0.0153460781414294,1313.97198088897,0.006,Not Significant
Baringo,2,Combined,(Intercept),17.818,47.347,0.376,0.707,-60.068,95.704,0.014230742549025,1302.72245619544,0.005,Not Significant
Baringo,2,Combined,Total animal incidence,5.667,4.647,1.219,0.225,-1.978,13.311,0.014230742549025,1302.72245619544,0.005,Not Significant
Baringo,3,Combined,(Intercept),18.6,47.734,0.39,0.698,-59.921,97.122,0.0169773012401702,1291.04951251011,0.007,Not Significant
Baringo,3,Combined,Total animal incidence,-6.189,4.663,-1.327,0.187,-13.859,1.482,0.0169773012401702,1291.04951251011,0.007,Not Significant
Baringo,4,Combined,(Intercept),18.992,48.231,0.394,0.695,-60.347,98.332,0.015725528909954,1279.81263789932,0.006,Not Significant
Baringo,4,Combined,Total animal incidence,5.956,4.689,1.27,0.207,-1.757,13.668,0.015725528909954,1279.81263789932,0.006,Not Significant
Baringo,5,Combined,(Intercept),18.555,49.079,0.378,0.706,-62.179,99.29,0.000615790805055172,1269.986262336,-0.009,Not Significant
Baringo,5,Combined,Total animal incidence,1.179,4.748,0.248,0.804,-6.632,8.989,0.000615790805055172,1269.986262336,-0.009,Not Significant
Baringo,6,Combined,(Intercept),19.451,49.39,0.394,0.695,-61.796,100.698,0.00749045902772817,1257.8582028268,-0.003,Not Significant
Baringo,6,Combined,Total animal incidence,4.11,4.754,0.864,0.389,-3.711,11.931,0.00749045902772817,1257.8582028268,-0.003,Not Significant
Baringo,0,Individual,(Intercept),17.641,46.278,0.381,0.704,-58.487,93.769,0.0408607939066996,1326.53670266131,0.013,Not Significant
Baringo,0,Individual,Camel incidence,,,,,,,0.0408607939066996,1326.53670266131,0.013,
Baringo,0,Individual,Sheep incidence,208.536,257.945,0.808,0.421,-215.784,632.857,0.0408607939066996,1326.53670266131,0.013,Not Significant
Baringo,0,Individual,Cattle incidence,-73.864,80.097,-0.922,0.359,-205.623,57.895,0.0408607939066996,1326.53670266131,0.013,Not Significant
Baringo,0,Individual,Goat Incidence,33.104,60.827,0.544,0.587,-66.956,133.163,0.0408607939066996,1326.53670266131,0.013,Not Significant
Baringo,1,Individual,(Intercept),18.533,46.956,0.395,0.694,-58.709,95.776,0.0309486151001459,1316.27888615916,0.002,Not Significant
Baringo,1,Individual,Camel incidence,,,,,,,0.0309486151001459,1316.27888615916,0.002,
Baringo,1,Individual,Sheep incidence,-42.683,260.495,-0.164,0.87,-471.197,385.831,0.0309486151001459,1316.27888615916,0.002,Not Significant
Baringo,1,Individual,Cattle incidence,5.942,80.889,0.073,0.942,-127.12,139.004,0.0309486151001459,1316.27888615916,0.002,Not Significant
Baringo,1,Individual,Goat Incidence,-69.047,61.428,-1.124,0.264,-170.096,32.002,0.0309486151001459,1316.27888615916,0.002,Not Significant
Baringo,2,Individual,(Intercept),17.818,47.532,0.375,0.709,-60.372,96.009,0.0257952656841181,1305.48336932402,-0.003,Not Significant
Baringo,2,Individual,Camel incidence,,,,,,,0.0257952656841181,1305.48336932402,-0.003,
Baringo,2,Individual,Sheep incidence,-49.563,262.446,-0.189,0.851,-481.287,382.161,0.0257952656841181,1305.48336932402,-0.003,Not Significant
