county,Species,Total cases,Average cases,Clinically confirmed,Lab confirmed,Post Mortem,Mean incidence rate,Minimum incidence rate,Median incidence rate,Maximum incidence rate,SD of incidence rate
Baringo,Human,"118,526.0","13,169.56","31,742.0 (26.78%)","86,784 (73.22%)",0 (0%),"19,623.58",3173.37,22817.84,29486.17,9238.03
Baringo,Cattle,27.0,3.00,3.0 (11.11%),24 (88.89%),0 (0%),7.32,0,0,65.88,21.96
Baringo,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Baringo,Goat,6.0,0.67,6.0 (100%),0 (0%),0 (0%),0.71,0,0,6.43,2.14
Baringo,Sheep,6.0,0.67,6.0 (100%),0 (0%),0 (0%),1.94,0,0,17.48,5.83
Bomet,Human,"79,953.0","8,883.67","14,262.0 (17.84%)","65,691 (82.16%)",0 (0%),"10,216.84",2581.51,10145.51,16520.71,4475.55
Bomet,Cattle,18.0,2.00,14.0 (77.78%),0 (0%),4 (22.22%),6.29,0,0,31.43,11.33
Bomet,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Bomet,Goat,1.0,0.11,1.0 (100%),0 (0%),0 (0%),1.45,0,0,13.08,4.36
Bomet,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Bungoma,Human,"313,389.0","34,821.00","54,924.0 (17.53%)","258,465 (82.47%)",0 (0%),"20,784.29",1278.28,24455.78,33514.75,10032.39
Bungoma,Cattle,23.0,2.56,23.0 (100%),0 (0%),0 (0%),7.28,0,0,54.09,17.96
Bungoma,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Bungoma,Goat,7.0,0.78,5.0 (71.43%),2 (28.57%),0 (0%),7.09,0,0,27.35,10.96
Bungoma,Sheep,2.0,0.22,2.0 (100%),0 (0%),0 (0%),2.83,0,0,25.48,8.49
Busia,Human,"57,328.0","6,369.78","9,110.0 (15.89%)","48,218 (84.11%)",0 (0%),"7,174.84",2133.8,6352.53,15617.43,3655.18
Busia,Cattle,8.0,0.89,8.0 (100%),0 (0%),0 (0%),4.3,0,0,29.04,9.51
Busia,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Busia,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Busia,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Elgeyo Marakwet,Human,"183,076.0","20,341.78","50,926.0 (27.82%)","132,150 (72.18%)",0 (0%),"44,367.87",9200.68,42420.08,65389.02,18649.67
Elgeyo Marakwet,Cattle,3.0,0.33,3.0 (100%),0 (0%),0 (0%),2.22,0,0,13.29,4.7
Elgeyo Marakwet,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Elgeyo Marakwet,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Elgeyo Marakwet,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Embu,Human,"34,518.0","3,835.33","8,103.0 (23.47%)","26,415 (76.53%)",0 (0%),"6,180.79",1248.48,5229.69,13262.99,4181.5
Embu,Cattle,3.0,0.33,3.0 (100%),0 (0%),0 (0%),2.41,0,0,14.45,5.11
Embu,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Embu,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Embu,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Garissa,Human,"88,699.0","9,855.44","10,988.0 (12.39%)","77,711 (87.61%)",0 (0%),"11,874.89",1215.09,13404.18,18994.82,5723.28
Garissa,Cattle,2.0,0.22,2.0 (100%),0 (0%),0 (0%),0.16,0,0,1.41,0.47
Garissa,Camel,1.0,0.11,0.0 (0%),1 (100%),0 (0%),0.14,0,0,1.23,0.41
Garissa,Goat,18.0,2.00,17.0 (94.44%),1 (5.56%),0 (0%),0.52,0,0,2.59,0.89
Garissa,Sheep,9.0,1.00,8.0 (88.89%),1 (11.11%),0 (0%),0.36,0,0,2.91,0.96
Homa Bay,Human,"78,658.0","8,739.78","15,768.0 (20.05%)","62,890 (79.95%)",0 (0%),"7,739.09",1105.73,8379.09,12314.68,3489.87
Homa Bay,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Homa Bay,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Homa Bay,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Homa Bay,Sheep,1.0,0.11,1.0 (100%),0 (0%),0 (0%),0.75,0,0,6.74,2.25
Isiolo,Human,"48,527.0","5,391.89","13,038.0 (26.87%)","35,489 (73.13%)",0 (0%),"19,342.33",4301.09,14181.27,35522.12,11168.09
Isiolo,Cattle,4.0,0.44,4.0 (100%),0 (0%),0 (0%),1.64,0,0,14.73,4.91
Isiolo,Camel,1.0,0.11,0.0 (0%),1 (100%),0 (0%),0.75,0,0,6.72,2.24
Isiolo,Goat,6.0,0.67,6.0 (100%),0 (0%),0 (0%),0.65,0,0,5.83,1.94
Isiolo,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
